*! 12C energy loss (dE/dX) in C
*! apply ZOOM for details
*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
11.000000	0.279408  	11.000000	0.311704  	11.000000	0.307197  	11.000000	0.307408  	11.000000	0.30716   	11.000000	0.311561  	11.000000	0.000142548	
12.000000	0.260733  	12.000000	0.290671  	12.000000	0.286028  	12.000000	0.286377  	12.000000	0.285932  	12.000000	0.290539  	12.000000	0.000131818	
13.000000	0.244586  	13.000000	0.272456  	13.000000	0.267745  	13.000000	0.268183  	13.000000	0.267581  	13.000000	0.272333  	13.000000	0.000122655	
14.000000	0.230479  	14.000000	0.256528  	14.000000	0.251801  	14.000000	0.252297  	14.000000	0.251571  	14.000000	0.256413  	14.000000	0.000114733	
15.000000	0.218043  	15.000000	0.242478  	15.000000	0.237777  	15.000000	0.238311  	15.000000	0.237487  	15.000000	0.242371  	15.000000	0.000107813	
16.000000	0.206994  	16.000000	0.229993  	16.000000	0.225359  	16.000000	0.22591   	16.000000	0.225009  	16.000000	0.229891  	16.000000	0.000101714	
17.000000	0.197109  	17.000000	0.218823  	17.000000	0.214291  	17.000000	0.214843  	17.000000	0.213884  	17.000000	0.218726  	17.000000	9.62962e-05	
18.000000	0.188211  	18.000000	0.208768  	18.000000	0.204361  	18.000000	0.204912  	18.000000	0.203905  	18.000000	0.208677  	18.000000	9.14498e-05	
19.000000	0.180156  	19.000000	0.19967   	19.000000	0.195407  	19.000000	0.195953  	19.000000	0.194911  	19.000000	0.199583  	19.000000	8.70878e-05	
20.000000	0.172828  	20.000000	0.191397  	20.000000	0.187303  	20.000000	0.187835  	20.000000	0.186768  	20.000000	0.191313  	20.000000	8.314e-05 	
21.000000	0.166132  	21.000000	0.183839  	21.000000	0.179936  	21.000000	0.180448  	21.000000	0.179361  	21.000000	0.18376   	21.000000	7.95493e-05	
22.000000	0.159988  	22.000000	0.176909  	22.000000	0.17321   	22.000000	0.173702  	22.000000	0.172602  	22.000000	0.176833  	22.000000	7.62686e-05	
23.000000	0.15433   	23.000000	0.170529  	23.000000	0.167047  	23.000000	0.167519  	23.000000	0.16641   	23.000000	0.170456  	23.000000	7.3259e-05	
24.000000	0.1491    	24.000000	0.164637  	24.000000	0.161381  	24.000000	0.161835  	24.000000	0.160722  	24.000000	0.164567  	24.000000	7.04876e-05	
25.000000	0.144252  	25.000000	0.159178  	25.000000	0.156159  	25.000000	0.156595  	25.000000	0.155479  	25.000000	0.15911   	25.000000	6.7927e-05	
27.000000	0.135542  	27.000000	0.149378  	27.000000	0.146868  	27.000000	0.147263  	27.000000	0.14615   	27.000000	0.149315  	27.000000	6.33472e-05	
29.000000	0.127934  	29.000000	0.140829  	29.000000	0.138871  	29.000000	0.139216  	29.000000	0.138114  	29.000000	0.14077   	29.000000	5.93691e-05	
