*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
11.000000	0.115972  	11.000000	0.0877434 	11.000000	0.0865505 	11.000000	0.0865574 	11.000000	0.0865479 	11.000000	0.0876986 	11.000000	4.48475e-05	
12.000000	0.108017  	12.000000	0.0824318 	12.000000	0.0812722 	12.000000	0.0812837 	12.000000	0.0812707 	12.000000	0.0823903 	12.000000	4.15112e-05	
13.000000	0.101171  	13.000000	0.0777647 	13.000000	0.0766752 	13.000000	0.076688  	13.000000	0.0766738 	13.000000	0.0777261 	13.000000	3.86585e-05	
14.000000	0.0952146 	14.000000	0.0736325 	14.000000	0.072628  	14.000000	0.0726401 	14.000000	0.0726258 	14.000000	0.0735963 	14.000000	3.61899e-05	
15.000000	0.0899814 	15.000000	0.0699486 	15.000000	0.06903   	15.000000	0.069042  	15.000000	0.0690283 	15.000000	0.0699145 	15.000000	3.40316e-05	
16.000000	0.0853451 	16.000000	0.0666437 	16.000000	0.0658068 	16.000000	0.0658184 	16.000000	0.0658058 	16.000000	0.0666116 	16.000000	3.21277e-05	
17.000000	0.0812073 	17.000000	0.0636621 	17.000000	0.0629003 	17.000000	0.0629104 	17.000000	0.0628993 	17.000000	0.0636316 	17.000000	3.0435e-05	
18.000000	0.0774902 	18.000000	0.0609582 	18.000000	0.0602636 	18.000000	0.0602713 	18.000000	0.0602617 	18.000000	0.0609293 	18.000000	2.89198e-05	
19.000000	0.0741318 	19.000000	0.0584949 	19.000000	0.0578576 	19.000000	0.0578632 	19.000000	0.0578554 	19.000000	0.0584673 	19.000000	2.75551e-05	
20.000000	0.0710815 	20.000000	0.0562411 	20.000000	0.0556498 	20.000000	0.0556554 	20.000000	0.0556497 	20.000000	0.0562148 	20.000000	2.63191e-05	
21.000000	0.0682981 	21.000000	0.0541709 	21.000000	0.0536164 	21.000000	0.0536225 	21.000000	0.0536188 	21.000000	0.0541458 	21.000000	2.51943e-05	
22.000000	0.0657473 	22.000000	0.0522627 	22.000000	0.0517389 	22.000000	0.0517435 	22.000000	0.0517419 	22.000000	0.0522385 	22.000000	2.4166e-05	
23.000000	0.0634006 	23.000000	0.0504979 	23.000000	0.0499992 	23.000000	0.0500005 	23.000000	0.0500011 	23.000000	0.0504746 	23.000000	2.32222e-05	
24.000000	0.0612341 	24.000000	0.0488607 	24.000000	0.0483806 	24.000000	0.0483787 	24.000000	0.0483813 	24.000000	0.0488383 	24.000000	2.23527e-05	
25.000000	0.0592273 	25.000000	0.0473377 	25.000000	0.0468699 	25.000000	0.0468651 	25.000000	0.0468699 	25.000000	0.0473161 	25.000000	2.15489e-05	
