*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
105.000000	0.00155864	105.000000	0.0014856 	105.000000	0.00147377	105.000000	0.00147273	105.000000	0.00147373	105.000000	0.00148502	105.000000	5.82297e-07	
110.000000	0.0015059 	110.000000	0.00143654	110.000000	0.00142506	110.000000	0.00142406	110.000000	0.00142504	110.000000	0.00143598	110.000000	5.57907e-07	
115.000000	0.00145744	115.000000	0.00139152	115.000000	0.00138032	115.000000	0.00137935	115.000000	0.00138032	115.000000	0.00139099	115.000000	5.35549e-07	
120.000000	0.00141272	120.000000	0.00135005	120.000000	0.00133908	120.000000	0.00133815	120.000000	0.00133911	120.000000	0.00134954	120.000000	5.14977e-07	
125.000000	0.00137134	125.000000	0.00131173	125.000000	0.00130096	125.000000	0.00130006	125.000000	0.001301  	125.000000	0.00131124	125.000000	4.95982e-07	
130.000000	0.00133291	130.000000	0.00127621	130.000000	0.00126559	130.000000	0.00126472	130.000000	0.00126565	130.000000	0.00127573	130.000000	4.78388e-07	
135.000000	0.00129712	135.000000	0.00124318	135.000000	0.00123269	135.000000	0.00123186	135.000000	0.00123277	135.000000	0.00124272	135.000000	4.62043e-07	
140.000000	0.00126371	140.000000	0.0012124 	140.000000	0.0012021 	140.000000	0.00120122	140.000000	0.00120212	140.000000	0.00121196	140.000000	4.46818e-07	
145.000000	0.00123244	145.000000	0.00118365	145.000000	0.00117354	145.000000	0.00117258	145.000000	0.00117347	145.000000	0.00118321	145.000000	4.32599e-07	
150.000000	0.00120311	150.000000	0.00115672	150.000000	0.00114668	150.000000	0.00114575	150.000000	0.00114663	150.000000	0.0011563 	150.000000	4.1929e-07	
155.000000	0.0011618 	155.000000	0.00113144	155.000000	0.00112146	155.000000	0.00112056	155.000000	0.00112143	155.000000	0.00113103	155.000000	4.06803e-07	
160.000000	0.00113759	160.000000	0.00110768	160.000000	0.00109776	160.000000	0.00109687	160.000000	0.00109773	160.000000	0.00110728	160.000000	3.95066e-07	
165.000000	0.00111476	165.000000	0.00108529	165.000000	0.00107541	165.000000	0.00107455	165.000000	0.0010754 	165.000000	0.0010849 	165.000000	3.8401e-07	
170.000000	0.00109319	170.000000	0.00106416	170.000000	0.00105432	170.000000	0.00105348	170.000000	0.00105432	170.000000	0.00106379	170.000000	3.73578e-07	
175.000000	0.00107279	175.000000	0.00104419	175.000000	0.00103439	175.000000	0.00103356	175.000000	0.00103439	175.000000	0.00104382	175.000000	3.63719e-07	
180.000000	0.00105345	180.000000	0.00102528	180.000000	0.00101551	180.000000	0.0010147 	180.000000	0.00101553	180.000000	0.00102492	180.000000	3.54384e-07	
185.000000	0.00103509	185.000000	0.00100735	185.000000	0.000997607	185.000000	0.000996817	185.000000	0.000997634	185.000000	0.00100701	185.000000	3.45534e-07	
190.000000	0.00101765	190.000000	0.00099033	190.000000	0.000980613	190.000000	0.000979836	190.000000	0.000980646	190.000000	0.000989993	190.000000	3.3713e-07	
195.000000	0.00100105	195.000000	0.000974148	195.000000	0.000964444	195.000000	0.000963692	195.000000	0.000964494	195.000000	0.000973819	195.000000	3.2914e-07	
200.000000	0.000985233	200.000000	0.000958745	200.000000	0.000949056	200.000000	0.000948324	200.000000	0.000949119	200.000000	0.000958423	200.000000	3.21534e-07	
210.000000	0.000955735	210.000000	0.00093006	210.000000	0.000920523	210.000000	0.000919706	210.000000	0.000920488	210.000000	0.000929752	210.000000	3.07364e-07	
220.000000	0.000928775	220.000000	0.000903894	220.000000	0.000894418	220.000000	0.000893603	220.000000	0.000894373	220.000000	0.000903599	220.000000	2.94432e-07	
230.000000	0.000904037	230.000000	0.00087993	230.000000	0.000870484	230.000000	0.000869702	230.000000	0.00087046	230.000000	0.000879647	230.000000	2.8258e-07	
240.000000	0.000881255	240.000000	0.000857902	240.000000	0.000848499	240.000000	0.000847737	240.000000	0.000848485	240.000000	0.000857631	240.000000	2.71677e-07	
250.000000	0.000860204	250.000000	0.000837587	250.000000	0.000828226	250.000000	0.000827486	250.000000	0.000828224	250.000000	0.000837326	250.000000	2.61612e-07	
260.000000	0.000840695	260.000000	0.000818794	260.000000	0.000809478	260.000000	0.000808759	260.000000	0.000809487	260.000000	0.000818541	260.000000	2.52291e-07	
270.000000	0.000822562	270.000000	0.000801359	270.000000	0.000792095	270.000000	0.000791392	270.000000	0.000792112	270.000000	0.000801115	270.000000	2.43634e-07	
280.000000	0.000805666	280.000000	0.000785141	280.000000	0.000775932	280.000000	0.000775246	280.000000	0.000775957	280.000000	0.000784906	280.000000	2.35571e-07	
290.000000	0.000789885	290.000000	0.00077002	290.000000	0.000760857	290.000000	0.000760199	290.000000	0.000760902	290.000000	0.000769792	290.000000	2.28042e-07	
300.000000	0.000775111	300.000000	0.000755888	300.000000	0.000746835	300.000000	0.000746144	300.000000	0.00074684	300.000000	0.000755667	300.000000	2.20996e-07	
310.000000	0.000761253	310.000000	0.000742654	310.000000	0.000733726	310.000000	0.000732989	310.000000	0.000733678	310.000000	0.00074244	310.000000	2.14386e-07	
320.000000	0.000748227	320.000000	0.000730236	320.000000	0.000721374	320.000000	0.000720653	320.000000	0.000721335	320.000000	0.000730028	320.000000	2.08174e-07	
330.000000	0.000735962	330.000000	0.000718562	330.000000	0.000709764	330.000000	0.000709064	330.000000	0.000709739	330.000000	0.00071836	330.000000	2.02324e-07	
340.000000	0.000724395	340.000000	0.00070757	340.000000	0.000698848	340.000000	0.000698157	340.000000	0.000698827	340.000000	0.000707373	340.000000	1.96805e-07	
350.000000	0.000713467	350.000000	0.000697201	350.000000	0.000688555	350.000000	0.000687877	350.000000	0.000688541	350.000000	0.000697009	350.000000	1.91589e-07	
360.000000	0.000703128	360.000000	0.000687406	360.000000	0.000678838	360.000000	0.000678172	360.000000	0.000678831	360.000000	0.00068722	360.000000	1.86651e-07	
370.000000	0.000693333	370.000000	0.000678141	370.000000	0.000669653	370.000000	0.000668998	370.000000	0.000669651	370.000000	0.000677959	370.000000	1.8197e-07	
380.000000	0.000684041	380.000000	0.000669363	380.000000	0.000660959	380.000000	0.000660313	380.000000	0.000660962	380.000000	0.000669186	380.000000	1.77526e-07	
390.000000	0.000675215	390.000000	0.000661038	390.000000	0.000652718	390.000000	0.000652082	390.000000	0.000652726	390.000000	0.000660865	390.000000	1.73302e-07	
400.000000	0.000666822	400.000000	0.000653132	400.000000	0.000644897	400.000000	0.000644271	400.000000	0.00064491	400.000000	0.000652963	400.000000	1.6928e-07	
410.000000	0.000658831	410.000000	0.000645616	410.000000	0.000637467	410.000000	0.00063685	410.000000	0.000637485	410.000000	0.00064545	410.000000	1.65447e-07	
420.000000	0.000651215	420.000000	0.000638462	420.000000	0.000630403	420.000000	0.000629792	420.000000	0.000630423	420.000000	0.0006383 	420.000000	1.6179e-07	
430.000000	0.00064395	430.000000	0.000631646	430.000000	0.000623675	430.000000	0.000623073	430.000000	0.000623699	430.000000	0.000631488	430.000000	1.58296e-07	
440.000000	0.000637012	440.000000	0.000625146	440.000000	0.000617256	440.000000	0.000616669	440.000000	0.000617292	440.000000	0.000624991	440.000000	1.54955e-07	
450.000000	0.000630381	450.000000	0.000618941	450.000000	0.000611142	450.000000	0.000610561	450.000000	0.00061118	450.000000	0.000618789	450.000000	1.51757e-07	
460.000000	0.000624038	460.000000	0.000613013	460.000000	0.000605327	460.000000	0.000604729	460.000000	0.000605344	460.000000	0.000612864	460.000000	1.48693e-07	
470.000000	0.000617965	470.000000	0.000607344	470.000000	0.000599783	470.000000	0.000599156	470.000000	0.000599768	470.000000	0.000607198	470.000000	1.45754e-07	
480.000000	0.000612147	480.000000	0.000601919	480.000000	0.000594469	480.000000	0.000593827	480.000000	0.000594436	480.000000	0.000601776	480.000000	1.42933e-07	
490.000000	0.000606568	490.000000	0.000596723	490.000000	0.000589364	490.000000	0.000588727	490.000000	0.000589332	490.000000	0.000596583	490.000000	1.40222e-07	
500.000000	0.000601215	500.000000	0.000591743	500.000000	0.000584466	500.000000	0.000583841	500.000000	0.000584444	500.000000	0.000591605	500.000000	1.37616e-07	
520.000000	0.000591137	520.000000	0.000582383	520.000000	0.000575279	520.000000	0.000574668	520.000000	0.000575265	520.000000	0.00058225	520.000000	1.32694e-07	
540.000000	0.000581823	540.000000	0.00057375	540.000000	0.000566819	540.000000	0.000566218	540.000000	0.000566809	540.000000	0.000573622	540.000000	1.28123e-07	
560.000000	0.000573195	560.000000	0.000565768	560.000000	0.000559005	560.000000	0.000558416	560.000000	0.000559002	560.000000	0.000565644	560.000000	1.23866e-07	
580.000000	0.000565185	580.000000	0.000558373	580.000000	0.000551774	580.000000	0.000551194	580.000000	0.000551775	580.000000	0.000558253	580.000000	1.19892e-07	
600.000000	0.000557735	600.000000	0.000551506	600.000000	0.000545066	600.000000	0.000544495	600.000000	0.000545072	600.000000	0.00055139	600.000000	1.16173e-07	
620.000000	0.000550794	620.000000	0.000545119	620.000000	0.000538833	620.000000	0.00053827	620.000000	0.000538843	620.000000	0.000545006	620.000000	1.12686e-07	
640.000000	0.000544316	640.000000	0.000539167	640.000000	0.00053303	640.000000	0.000532474	640.000000	0.000533042	640.000000	0.000539058	640.000000	1.09408e-07	
660.000000	0.000538261	660.000000	0.000533613	660.000000	0.000527614	660.000000	0.000527068	660.000000	0.000527633	660.000000	0.000533506	660.000000	1.06321e-07	
680.000000	0.000532594	680.000000	0.000528421	680.000000	0.000522551	680.000000	0.000522018	680.000000	0.000522579	680.000000	0.000528318	680.000000	1.0341e-07	
700.000000	0.000527283	700.000000	0.000523562	700.000000	0.000517831	700.000000	0.000517293	700.000000	0.000517851	700.000000	0.000523461	700.000000	1.00659e-07	
720.000000	0.000522301	720.000000	0.000519008	720.000000	0.000513428	720.000000	0.000512866	720.000000	0.00051342	720.000000	0.00051891	720.000000	9.8055e-08	
740.000000	0.000517622	740.000000	0.000514736	740.000000	0.000509327	740.000000	0.000508746	740.000000	0.000509298	740.000000	0.00051464	740.000000	9.55868e-08	
760.000000	0.000513223	760.000000	0.000510724	760.000000	0.000505533	760.000000	0.000504953	760.000000	0.000505502	760.000000	0.000510631	760.000000	9.32438e-08	
780.000000	0.000509084	780.000000	0.000506952	780.000000	0.000501955	780.000000	0.000501385	780.000000	0.000501931	780.000000	0.000506861	780.000000	9.10165e-08	
800.000000	0.000505187	800.000000	0.000503403	800.000000	0.000498587	800.000000	0.000498026	800.000000	0.00049857	800.000000	0.000503314	800.000000	8.88966e-08	
820.000000	0.000501515	820.000000	0.00050006	820.000000	0.000495417	820.000000	0.00049486	820.000000	0.000495401	820.000000	0.000499973	820.000000	8.68763e-08	
840.000000	0.000498052	840.000000	0.00049691	840.000000	0.000492426	840.000000	0.000491874	840.000000	0.000492412	840.000000	0.000496825	840.000000	8.49487e-08	
860.000000	0.000494786	860.000000	0.00049394	860.000000	0.000489602	860.000000	0.000489054	860.000000	0.00048959	860.000000	0.000493857	860.000000	8.31076e-08	
880.000000	0.000491702	880.000000	0.000491136	880.000000	0.000486933	880.000000	0.000486389	880.000000	0.000486923	880.000000	0.000491055	880.000000	8.13471e-08	
900.000000	0.000488791	900.000000	0.00048849	900.000000	0.000484408	900.000000	0.000483869	900.000000	0.000484401	900.000000	0.00048841	900.000000	7.96621e-08	
920.000000	0.000486041	920.000000	0.00048599	920.000000	0.000482019	920.000000	0.000481484	920.000000	0.000482014	920.000000	0.000485912	920.000000	7.80477e-08	
