*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
35.000000	0.0796999 	35.000000	0.0812328 	35.000000	0.0804659 	35.000000	0.0805125 	35.000000	0.0804642 	35.000000	0.081201  	35.000000	3.18124e-05	
38.000000	0.0746018 	38.000000	0.0759861 	38.000000	0.0753293 	38.000000	0.0753458 	38.000000	0.075325  	38.000000	0.0759566 	38.000000	2.95139e-05	
41.000000	0.0701962 	41.000000	0.0714538 	41.000000	0.0708848 	41.000000	0.0708793 	41.000000	0.0708798 	41.000000	0.0714263 	41.000000	2.75368e-05	
44.000000	0.0663485 	44.000000	0.0674977 	44.000000	0.0669936 	44.000000	0.0669778 	44.000000	0.0669947 	44.000000	0.0674719 	44.000000	2.58173e-05	
47.000000	0.0629574 	47.000000	0.0640131 	47.000000	0.0635665 	47.000000	0.0635386 	47.000000	0.0635685 	47.000000	0.0639888 	47.000000	2.43075e-05	
50.000000	0.0599446 	50.000000	0.0609196 	50.000000	0.060526  	50.000000	0.060483  	50.000000	0.0605234 	50.000000	0.0608966 	50.000000	2.29708e-05	
55.000000	0.0556039 	55.000000	0.0564671 	55.000000	0.0561343 	55.000000	0.0560808 	55.000000	0.0561343 	55.000000	0.0564461 	55.000000	2.10532e-05	
60.000000	0.051938  	60.000000	0.0527124 	60.000000	0.0524243 	60.000000	0.052364  	60.000000	0.0524267 	60.000000	0.0526929 	60.000000	1.94415e-05	
65.000000	0.0487982 	65.000000	0.0495015 	65.000000	0.0492525 	65.000000	0.049182  	65.000000	0.0492514 	65.000000	0.0494835 	65.000000	1.80672e-05	
70.000000	0.0460768 	70.000000	0.0467232 	70.000000	0.0464976 	70.000000	0.0464258 	70.000000	0.0464999 	70.000000	0.0467063 	70.000000	1.68809e-05	
75.000000	0.0436938 	75.000000	0.0442945 	75.000000	0.0440944 	75.000000	0.0440142 	75.000000	0.0440918 	75.000000	0.0442787 	75.000000	1.58461e-05	
80.000000	0.0415886 	80.000000	0.0421528 	80.000000	0.0419679 	80.000000	0.0418856 	80.000000	0.0419658 	80.000000	0.0421378 	80.000000	1.49351e-05	
85.000000	0.0397142 	85.000000	0.0402494 	85.000000	0.0400759 	85.000000	0.0399925 	85.000000	0.0400744 	85.000000	0.0402353 	85.000000	1.41268e-05	
90.000000	0.0380339 	90.000000	0.0385464 	90.000000	0.0383817 	90.000000	0.0382973 	90.000000	0.0383805 	90.000000	0.038533  	90.000000	1.34045e-05	
95.000000	0.0365184 	95.000000	0.0370133 	95.000000	0.0368555 	95.000000	0.0367703 	95.000000	0.0368544 	95.000000	0.0370005 	95.000000	1.2755e-05	
100.000000	0.035144  	100.000000	0.0356256 	100.000000	0.0354731 	100.000000	0.0353874 	100.000000	0.035472  	100.000000	0.0356135 	100.000000	1.21677e-05	
105.000000	0.0338915 	105.000000	0.0343635 	105.000000	0.0342151 	105.000000	0.0341289 	105.000000	0.0342138 	105.000000	0.0343519 	105.000000	1.16341e-05	
