*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
7.500000	0.0107373 	7.500000	0.0114205 	7.500000	0.0117971 	7.500000	0.0117971 	7.500000	0.0117971 	7.500000	0.0114148 	7.500000	5.64802e-06	
8.000000	0.0101928 	8.000000	0.0108405 	8.000000	0.0111946 	8.000000	0.0111946 	8.000000	0.0111946 	8.000000	0.0108352 	8.000000	5.33055e-06	
8.500000	0.00970516	8.500000	0.0103206 	8.500000	0.0106545 	8.500000	0.0106545 	8.500000	0.0106546 	8.500000	0.0103156 	8.500000	5.04839e-06	
9.000000	0.00926587	9.000000	0.00985165	9.000000	0.0101674 	9.000000	0.0101674 	9.000000	0.0101674 	9.000000	0.00984685	9.000000	4.79589e-06	
9.500000	0.00886789	9.500000	0.0094263 	9.500000	0.00972556	9.500000	0.00972556	9.500000	0.00972557	9.500000	0.00942173	9.500000	4.56854e-06	
10.000000	0.00850556	10.000000	0.00944701	10.000000	0.0093229 	10.000000	0.0093229 	10.000000	0.0093229 	10.000000	0.00944264	10.000000	4.3627e-06	
11.000000	0.00786991	11.000000	0.00873614	11.000000	0.00860801	11.000000	0.00860808	11.000000	0.00860459	11.000000	0.00873213	11.000000	4.00424e-06	
12.000000	0.00733008	12.000000	0.00813195	12.000000	0.00800154	12.000000	0.00800168	12.000000	0.00799572	12.000000	0.00812825	12.000000	3.70249e-06	
13.000000	0.00686556	13.000000	0.00761179	13.000000	0.00748065	13.000000	0.00748074	13.000000	0.00747279	13.000000	0.00760834	13.000000	3.44479e-06	
14.000000	0.00646136	14.000000	0.00715903	14.000000	0.0070284 	14.000000	0.00702838	14.000000	0.00701876	14.000000	0.00715581	14.000000	3.22205e-06	
15.000000	0.00610624	15.000000	0.0067612 	15.000000	0.00663193	15.000000	0.00663194	15.000000	0.00662086	15.000000	0.00675817	15.000000	3.0275e-06	
16.000000	0.00579162	16.000000	0.00640872	16.000000	0.00628177	16.000000	0.0062817 	16.000000	0.00626935	16.000000	0.00640587	16.000000	2.85604e-06	
17.000000	0.00551083	17.000000	0.00609416	17.000000	0.00597039	17.000000	0.00597009	17.000000	0.00595663	17.000000	0.00609146	17.000000	2.70374e-06	
18.000000	0.00525859	18.000000	0.00581162	18.000000	0.00569155	18.000000	0.00569114	18.000000	0.00567669	18.000000	0.00580905	18.000000	2.56752e-06	
19.000000	0.00503068	19.000000	0.00555637	19.000000	0.00544043	19.000000	0.00544003	19.000000	0.00542472	19.000000	0.00555393	19.000000	2.44492e-06	
20.000000	0.00482369	20.000000	0.0053246 	20.000000	0.00521329	20.000000	0.00521288	20.000000	0.00519679	20.000000	0.00532226	20.000000	2.33397e-06	
21.000000	0.0046348 	21.000000	0.00511315	21.000000	0.00500693	21.000000	0.00500649	21.000000	0.0049897 	21.000000	0.00511091	21.000000	2.23306e-06	
22.000000	0.0044617 	22.000000	0.00491942	22.000000	0.00481864	22.000000	0.00481822	22.000000	0.00480081	22.000000	0.00491728	22.000000	2.14086e-06	
23.000000	0.00430246	23.000000	0.00474125	23.000000	0.00464629	23.000000	0.00464585	23.000000	0.00462787	23.000000	0.00473919	23.000000	2.05629e-06	
24.000000	0.00415543	24.000000	0.00457681	24.000000	0.00448814	24.000000	0.00448753	24.000000	0.00446903	24.000000	0.00457483	24.000000	1.97842e-06	
25.000000	0.00401925	25.000000	0.00442454	25.000000	0.00434256	25.000000	0.00434168	25.000000	0.0043227 	25.000000	0.00442263	25.000000	1.90648e-06	
27.000000	0.00377486	27.000000	0.00415141	27.000000	0.00408328	27.000000	0.00408217	27.000000	0.00406235	27.000000	0.00414964	27.000000	1.77781e-06	
29.000000	0.00356168	29.000000	0.00391335	29.000000	0.0038597 	29.000000	0.00385862	29.000000	0.00383809	29.000000	0.00391168	29.000000	1.66605e-06	
31.000000	0.003374  	31.000000	0.00370391	31.000000	0.00366099	31.000000	0.00365989	31.000000	0.00363974	31.000000	0.00370234	31.000000	1.56804e-06	
33.000000	0.00320742	33.000000	0.00351816	33.000000	0.0034807 	33.000000	0.00347966	33.000000	0.00346079	33.000000	0.00351668	33.000000	1.48135e-06	
35.000000	0.00305851	35.000000	0.00335225	35.000000	0.00331932	35.000000	0.0033184 	35.000000	0.00330065	35.000000	0.00335085	35.000000	1.4041e-06	
38.000000	0.00286246	38.000000	0.00313405	38.000000	0.00310712	38.000000	0.00310588	38.000000	0.00308958	38.000000	0.00313274	38.000000	1.30278e-06	
41.000000	0.00269313	41.000000	0.0029458 	41.000000	0.0029234 	41.000000	0.00292212	41.000000	0.00290705	41.000000	0.00294459	41.000000	1.21562e-06	
44.000000	0.00254529	44.000000	0.00278167	44.000000	0.00276273	44.000000	0.00276156	44.000000	0.00274754	44.000000	0.00278053	44.000000	1.1398e-06	
47.000000	0.00241503	47.000000	0.00263724	47.000000	0.0026211 	47.000000	0.00262   	47.000000	0.00260689	47.000000	0.00263616	47.000000	1.07323e-06	
50.000000	0.00229933	50.000000	0.00250912	50.000000	0.00249524	50.000000	0.0024942 	50.000000	0.00248189	50.000000	0.00250811	50.000000	1.01429e-06	
55.000000	0.00213268	55.000000	0.0023249 	55.000000	0.00231389	55.000000	0.00231293	55.000000	0.00230175	55.000000	0.00232397	55.000000	9.29709e-07	
60.000000	0.00199198	60.000000	0.00216969	60.000000	0.0021608 	60.000000	0.00215985	60.000000	0.00214959	60.000000	0.00216884	60.000000	8.58619e-07	
65.000000	0.00187148	65.000000	0.00203709	65.000000	0.00202989	65.000000	0.00202877	65.000000	0.00201929	65.000000	0.00203629	65.000000	7.97994e-07	
70.000000	0.00176706	70.000000	0.00192242	70.000000	0.00191623	70.000000	0.00191521	70.000000	0.0019064 	70.000000	0.00192167	70.000000	7.45656e-07	
75.000000	0.00167564	75.000000	0.00182225	75.000000	0.0018168 	75.000000	0.00181583	75.000000	0.0018076 	75.000000	0.00182155	75.000000	6.99997e-07	
80.000000	0.00159487	80.000000	0.00173396	80.000000	0.00172902	80.000000	0.00172811	80.000000	0.00172037	80.000000	0.0017333 	80.000000	6.59799e-07	
85.000000	0.00152297	85.000000	0.00165553	85.000000	0.00165094	85.000000	0.00165008	85.000000	0.00164278	85.000000	0.00165491	85.000000	6.24129e-07	
90.000000	0.00145852	90.000000	0.00158539	90.000000	0.00158103	90.000000	0.0015802 	90.000000	0.00157329	90.000000	0.00158479	90.000000	5.92251e-07	
95.000000	0.00140039	95.000000	0.00152226	95.000000	0.00151823	95.000000	0.00151725	95.000000	0.00151069	95.000000	0.0015217 	95.000000	5.63586e-07	
100.000000	0.00134768	100.000000	0.00146515	100.000000	0.00146117	100.000000	0.00146024	100.000000	0.00145398	100.000000	0.00146461	100.000000	5.37666e-07	
105.000000	0.00129964	105.000000	0.00141322	105.000000	0.00140924	105.000000	0.00140835	105.000000	0.00140237	105.000000	0.00141271	105.000000	5.14109e-07	
110.000000	0.00125566	110.000000	0.00136579	110.000000	0.00136178	110.000000	0.00136092	110.000000	0.0013552 	110.000000	0.0013653 	110.000000	4.92603e-07	
115.000000	0.00121525	115.000000	0.00132229	115.000000	0.00131822	115.000000	0.00131739	115.000000	0.0013119 	115.000000	0.00132182	115.000000	4.72887e-07	
120.000000	0.00117797	120.000000	0.00128226	120.000000	0.0012781 	120.000000	0.0012773 	120.000000	0.00127202	120.000000	0.0012818 	120.000000	4.54745e-07	
125.000000	0.00114346	125.000000	0.00124528	125.000000	0.00124103	125.000000	0.00124025	125.000000	0.00123517	125.000000	0.00124485	125.000000	4.37994e-07	
130.000000	0.00111141	130.000000	0.00121103	130.000000	0.00120666	130.000000	0.00120591	130.000000	0.001201  	130.000000	0.00121061	130.000000	4.22476e-07	
135.000000	0.00108158	135.000000	0.0011792 	135.000000	0.0011747 	135.000000	0.00117399	135.000000	0.00116925	135.000000	0.00117879	135.000000	4.0806e-07	
140.000000	0.00105372	140.000000	0.00114955	140.000000	0.00114501	140.000000	0.00114424	140.000000	0.00113965	140.000000	0.00114916	140.000000	3.9463e-07	
145.000000	0.00102764	145.000000	0.00112186	145.000000	0.00111728	145.000000	0.00111645	145.000000	0.00111199	145.000000	0.00112148	145.000000	3.82088e-07	
150.000000	0.00100318	150.000000	0.00109594	150.000000	0.00109123	150.000000	0.00109042	150.000000	0.0010861 	150.000000	0.00109557	150.000000	3.70347e-07	
155.000000	0.000968742	155.000000	0.00107163	155.000000	0.00106678	155.000000	0.001066  	155.000000	0.0010618 	155.000000	0.00107127	155.000000	3.59332e-07	
160.000000	0.000948555	160.000000	0.00104877	160.000000	0.0010438 	160.000000	0.00104304	160.000000	0.00103896	160.000000	0.00104842	160.000000	3.48977e-07	
165.000000	0.000929518	165.000000	0.00102725	165.000000	0.00102216	165.000000	0.00102141	165.000000	0.00101744	165.000000	0.00102691	165.000000	3.39223e-07	
170.000000	0.000911535	170.000000	0.00100694	170.000000	0.00100173	170.000000	0.001001  	170.000000	0.000997128	170.000000	0.00100661	170.000000	3.30019e-07	
175.000000	0.000894519	175.000000	0.000987749	175.000000	0.000982426	175.000000	0.000981714	175.000000	0.000977936	175.000000	0.000987428	175.000000	3.21319e-07	
180.000000	0.000878393	180.000000	0.000969587	180.000000	0.000964152	180.000000	0.000963457	180.000000	0.000959768	180.000000	0.000969274	180.000000	3.13083e-07	
185.000000	0.000863089	185.000000	0.000952371	185.000000	0.000946832	185.000000	0.000946149	185.000000	0.000942545	185.000000	0.000952066	185.000000	3.05274e-07	
190.000000	0.000848544	190.000000	0.00093603	190.000000	0.000930391	190.000000	0.000929719	190.000000	0.000926196	190.000000	0.000935732	190.000000	2.97858e-07	
195.000000	0.000834702	195.000000	0.000920498	195.000000	0.000914753	195.000000	0.000914103	195.000000	0.000910655	195.000000	0.000920207	195.000000	2.90807e-07	
200.000000	0.000821514	200.000000	0.000905716	200.000000	0.000899874	200.000000	0.000899241	200.000000	0.000895865	200.000000	0.000905432	200.000000	2.84095e-07	
210.000000	0.000796918	210.000000	0.000878198	210.000000	0.000872279	210.000000	0.000871572	210.000000	0.00086833	210.000000	0.000877926	210.000000	2.71589e-07	
220.000000	0.000774438	220.000000	0.000853105	220.000000	0.000847049	220.000000	0.000846345	220.000000	0.000843223	220.000000	0.000852845	220.000000	2.60176e-07	
230.000000	0.00075381	230.000000	0.000830131	230.000000	0.000823928	230.000000	0.000823251	230.000000	0.000820239	230.000000	0.000829881	230.000000	2.49715e-07	
240.000000	0.000734814	240.000000	0.00080902	240.000000	0.000802693	240.000000	0.000802034	240.000000	0.000799122	240.000000	0.00080878	240.000000	2.40091e-07	
250.000000	0.000717261	250.000000	0.000789555	250.000000	0.000783116	250.000000	0.000782476	250.000000	0.000779657	250.000000	0.000789324	250.000000	2.31206e-07	
260.000000	0.000700994	260.000000	0.000771552	260.000000	0.000765015	260.000000	0.000764393	260.000000	0.000761658	260.000000	0.000771329	260.000000	2.22978e-07	
270.000000	0.000685875	270.000000	0.000754853	270.000000	0.000748232	270.000000	0.000747625	270.000000	0.000744968	270.000000	0.000754638	270.000000	2.15335e-07	
280.000000	0.000671786	280.000000	0.000739323	280.000000	0.000732629	280.000000	0.000732037	280.000000	0.000729452	280.000000	0.000739115	280.000000	2.08216e-07	
