Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
270.000000	3.38049e-06	270.000000	3.99981e-06	270.000000	3.99979e-06	270.000000	3.97101e-06	270.000000	3.99876e-06	270.000000	1.05686e-09	
280.000000	3.31107e-06	280.000000	3.9157e-06	280.000000	3.91672e-06	280.000000	3.888e-06 	280.000000	3.91468e-06	280.000000	1.02194e-09	
290.000000	3.24623e-06	290.000000	3.83728e-06	290.000000	3.83903e-06	290.000000	3.81068e-06	290.000000	3.83629e-06	290.000000	9.89325e-10	
300.000000	3.18553e-06	300.000000	3.76401e-06	300.000000	3.76668e-06	300.000000	3.73849e-06	300.000000	3.76305e-06	300.000000	9.58801e-10	
310.000000	3.12858e-06	310.000000	3.69539e-06	310.000000	3.69908e-06	310.000000	3.67096e-06	310.000000	3.69446e-06	310.000000	9.30169e-10	
320.000000	3.07506e-06	320.000000	3.63101e-06	320.000000	3.63545e-06	320.000000	3.60765e-06	320.000000	3.6301e-06	320.000000	9.03255e-10	
330.000000	3.02466e-06	330.000000	3.57049e-06	330.000000	3.57583e-06	330.000000	3.5482e-06	330.000000	3.56961e-06	330.000000	8.77908e-10	
340.000000	2.97713e-06	340.000000	3.5135e-06	340.000000	3.51991e-06	340.000000	3.49228e-06	340.000000	3.51265e-06	340.000000	8.53994e-10	
350.000000	2.93222e-06	350.000000	3.45976e-06	350.000000	3.46721e-06	350.000000	3.43958e-06	350.000000	3.45893e-06	350.000000	8.31392e-10	
360.000000	2.88974e-06	360.000000	3.409e-06 	360.000000	3.41729e-06	360.000000	3.38985e-06	360.000000	3.40819e-06	360.000000	8.09997e-10	
370.000000	2.84949e-06	370.000000	3.36098e-06	370.000000	3.37002e-06	370.000000	3.34285e-06	370.000000	3.36019e-06	370.000000	7.89713e-10	
380.000000	2.81131e-06	380.000000	3.3155e-06	380.000000	3.32546e-06	380.000000	3.29838e-06	380.000000	3.31473e-06	380.000000	7.70455e-10	
390.000000	2.77504e-06	390.000000	3.27236e-06	390.000000	3.28329e-06	390.000000	3.25624e-06	390.000000	3.27161e-06	390.000000	7.52146e-10	
400.000000	2.74054e-06	400.000000	3.2314e-06	400.000000	3.24312e-06	400.000000	3.21626e-06	400.000000	3.23066e-06	400.000000	7.34717e-10	
410.000000	2.70771e-06	410.000000	3.19245e-06	410.000000	3.20492e-06	410.000000	3.17828e-06	410.000000	3.19174e-06	410.000000	7.18104e-10	
420.000000	2.67641e-06	420.000000	3.1554e-06	420.000000	3.16867e-06	420.000000	3.14217e-06	420.000000	3.15469e-06	420.000000	7.02252e-10	
430.000000	2.64655e-06	430.000000	3.12009e-06	430.000000	3.13423e-06	430.000000	3.1078e-06	430.000000	3.1194e-06	430.000000	6.87109e-10	
440.000000	2.61804e-06	440.000000	3.08642e-06	440.000000	3.10139e-06	440.000000	3.07506e-06	440.000000	3.08575e-06	440.000000	6.72627e-10	
450.000000	2.59079e-06	450.000000	3.05428e-06	450.000000	3.07002e-06	450.000000	3.04383e-06	450.000000	3.05363e-06	450.000000	6.58764e-10	
460.000000	2.56472e-06	460.000000	3.02358e-06	460.000000	3.04002e-06	460.000000	3.01402e-06	460.000000	3.02294e-06	460.000000	6.45481e-10	
470.000000	2.53977e-06	470.000000	2.99423e-06	470.000000	3.01136e-06	470.000000	2.98554e-06	470.000000	2.9936e-06	470.000000	6.32741e-10	
480.000000	2.51586e-06	480.000000	2.96614e-06	480.000000	2.98403e-06	480.000000	2.95831e-06	480.000000	2.96552e-06	480.000000	6.20511e-10	
490.000000	2.49293e-06	490.000000	2.93924e-06	490.000000	2.95796e-06	490.000000	2.93225e-06	490.000000	2.93863e-06	490.000000	6.08761e-10	
500.000000	2.47093e-06	500.000000	2.91346e-06	500.000000	2.93297e-06	500.000000	2.90729e-06	500.000000	2.91286e-06	500.000000	5.97463e-10	
520.000000	2.42951e-06	520.000000	2.865e-06 	520.000000	2.88584e-06	520.000000	2.86045e-06	520.000000	2.86443e-06	520.000000	5.76121e-10	
540.000000	2.39123e-06	540.000000	2.82032e-06	540.000000	2.84254e-06	540.000000	2.81731e-06	540.000000	2.81976e-06	540.000000	5.56301e-10	
560.000000	2.35577e-06	560.000000	2.77902e-06	560.000000	2.80267e-06	560.000000	2.77748e-06	560.000000	2.77848e-06	560.000000	5.37843e-10	
580.000000	2.32286e-06	580.000000	2.74076e-06	580.000000	2.76559e-06	580.000000	2.74063e-06	580.000000	2.74024e-06	580.000000	5.20611e-10	
600.000000	2.29224e-06	600.000000	2.70524e-06	600.000000	2.73114e-06	600.000000	2.70646e-06	600.000000	2.70473e-06	600.000000	5.04484e-10	
620.000000	2.26371e-06	620.000000	2.6722e-06	620.000000	2.69922e-06	620.000000	2.67472e-06	620.000000	2.67171e-06	620.000000	4.89358e-10	
640.000000	2.23709e-06	640.000000	2.64143e-06	640.000000	2.66963e-06	640.000000	2.64517e-06	640.000000	2.64095e-06	640.000000	4.75143e-10	
660.000000	2.2122e-06	660.000000	2.61271e-06	660.000000	2.64201e-06	660.000000	2.61762e-06	660.000000	2.61225e-06	660.000000	4.61757e-10	
680.000000	2.18891e-06	680.000000	2.58587e-06	680.000000	2.61609e-06	680.000000	2.59189e-06	680.000000	2.58542e-06	680.000000	4.49129e-10	
700.000000	2.16709e-06	700.000000	2.56076e-06	700.000000	2.59188e-06	700.000000	2.56782e-06	700.000000	2.56032e-06	700.000000	4.37196e-10	
720.000000	2.14661e-06	720.000000	2.53723e-06	720.000000	2.5693e-06	720.000000	2.54528e-06	720.000000	2.53681e-06	720.000000	4.25901e-10	
740.000000	2.12738e-06	740.000000	2.51517e-06	740.000000	2.54813e-06	740.000000	2.52415e-06	740.000000	2.51475e-06	740.000000	4.15194e-10	
760.000000	2.1093e-06	760.000000	2.49445e-06	760.000000	2.52817e-06	760.000000	2.5043e-06	760.000000	2.49404e-06	760.000000	4.0503e-10	
780.000000	2.09229e-06	780.000000	2.47497e-06	780.000000	2.50935e-06	780.000000	2.48564e-06	780.000000	2.47457e-06	780.000000	3.95368e-10	
800.000000	2.07628e-06	800.000000	2.45665e-06	800.000000	2.49163e-06	800.000000	2.46808e-06	800.000000	2.45626e-06	800.000000	3.86171e-10	
820.000000	2.06118e-06	820.000000	2.4394e-06	820.000000	2.47496e-06	820.000000	2.45154e-06	820.000000	2.43902e-06	820.000000	3.77406e-10	
840.000000	2.04695e-06	840.000000	2.42315e-06	840.000000	2.45928e-06	840.000000	2.43595e-06	840.000000	2.42278e-06	840.000000	3.69043e-10	
860.000000	2.03353e-06	860.000000	2.40783e-06	860.000000	2.44454e-06	860.000000	2.42123e-06	860.000000	2.40747e-06	860.000000	3.61054e-10	
880.000000	2.02086e-06	880.000000	2.39338e-06	880.000000	2.43062e-06	880.000000	2.40733e-06	880.000000	2.39302e-06	880.000000	3.53416e-10	
900.000000	2.00889e-06	900.000000	2.37973e-06	900.000000	2.41744e-06	900.000000	2.39419e-06	900.000000	2.37939e-06	900.000000	3.46104e-10	
920.000000	1.99759e-06	920.000000	2.36685e-06	920.000000	2.40492e-06	920.000000	2.38176e-06	920.000000	2.36651e-06	920.000000	3.39099e-10	
940.000000	1.98691e-06	940.000000	2.35468e-06	940.000000	2.39305e-06	940.000000	2.36999e-06	940.000000	2.35435e-06	940.000000	3.32381e-10	
960.000000	1.97681e-06	960.000000	2.34318e-06	960.000000	2.38179e-06	960.000000	2.35884e-06	960.000000	2.34285e-06	960.000000	3.25932e-10	
980.000000	1.96727e-06	980.000000	2.3323e-06	980.000000	2.37112e-06	980.000000	2.34828e-06	980.000000	2.33198e-06	980.000000	3.19738e-10	
1000.000000	1.95825e-06	1000.000000	2.32202e-06	1000.000000	2.36101e-06	1000.000000	2.33826e-06	1000.000000	2.32171e-06	1000.000000	3.13781e-10	
1020.000000	1.94972e-06	1020.000000	2.3123e-06	1020.000000	2.35143e-06	1020.000000	2.32875e-06	1020.000000	2.31199e-06	1020.000000	3.0805e-10	
1040.000000	1.94166e-06	1040.000000	2.3031e-06	1040.000000	2.34237e-06	1040.000000	2.31973e-06	1040.000000	2.3028e-06	1040.000000	3.02532e-10	
1060.000000	1.93403e-06	1060.000000	2.2944e-06	1060.000000	2.33378e-06	1060.000000	2.31115e-06	1060.000000	2.2941e-06	1060.000000	2.97214e-10	
