*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al
14.000000	1.69826   	14.000000	0.914427  	14.000000	0.901128  	14.000000	0.904082  	14.000000	0.901544  	14.000000	0.913995  	14.000000	0.000431739
15.000000	1.60663   	15.000000	0.874518  	15.000000	0.860971  	15.000000	0.86415   	15.000000	0.861383  	15.000000	0.874112  	15.000000	0.000406461
16.000000	1.52521   	16.000000	0.838005  	16.000000	0.824434  	16.000000	0.827714  	16.000000	0.824806  	16.000000	0.837621  	16.000000	0.00038413
17.000000	1.45238   	17.000000	0.804518  	17.000000	0.791072  	17.000000	0.794359  	17.000000	0.79138   	17.000000	0.804154  	17.000000	0.000364251
18.000000	1.38681   	18.000000	0.773727  	18.000000	0.760409  	18.000000	0.763683  	18.000000	0.760676  	18.000000	0.77338   	18.000000	0.000346434
19.000000	1.32746   	19.000000	0.745339  	19.000000	0.732115  	19.000000	0.735362  	19.000000	0.73237   	19.000000	0.745008  	19.000000	0.000330369
20.000000	1.27347   	20.000000	0.719097  	20.000000	0.705953  	20.000000	0.709121  	20.000000	0.706181  	20.000000	0.718782  	20.000000	0.000315804
21.000000	1.22413   	21.000000	0.694778  	21.000000	0.681679  	21.000000	0.684728  	21.000000	0.68185   	21.000000	0.694475  	21.000000	0.000302536
22.000000	1.17886   	22.000000	0.672182  	22.000000	0.659057  	22.000000	0.661983  	22.000000	0.659194  	22.000000	0.671892  	22.000000	0.000290395
23.000000	1.13716   	23.000000	0.651139  	23.000000	0.637903  	23.000000	0.640712  	23.000000	0.63802   	23.000000	0.65086   	23.000000	0.000279242
24.000000	1.09863   	24.000000	0.631496  	24.000000	0.618067  	24.000000	0.620767  	24.000000	0.618184  	24.000000	0.631227  	24.000000	0.000268958
25.000000	1.06291   	25.000000	0.613121  	25.000000	0.599424  	25.000000	0.602018  	25.000000	0.59955   	25.000000	0.612861  	25.000000	0.000259443
27.000000	0.998727  	27.000000	0.579716  	27.000000	0.565317  	27.000000	0.567669  	27.000000	0.565444  	27.000000	0.579474  	27.000000	0.000242397
29.000000	0.94267   	29.000000	0.55014   	29.000000	0.534649  	29.000000	0.536704  	29.000000	0.534732  	29.000000	0.549913  	29.000000	0.000227557
31.000000	0.893264  	31.000000	0.523773  	31.000000	0.508528  	31.000000	0.510212  	31.000000	0.508576  	31.000000	0.523558  	31.000000	0.000214515
33.000000	0.849372  	33.000000	0.500118  	33.000000	0.48626   	33.000000	0.487602  	33.000000	0.48633   	33.000000	0.499915  	33.000000	0.000202957
35.000000	0.810105  	35.000000	0.478778  	35.000000	0.466221  	35.000000	0.467263  	35.000000	0.466291  	35.000000	0.478585  	35.000000	0.000192641
38.000000	0.758371  	38.000000	0.450412  	38.000000	0.439623  	38.000000	0.440284  	38.000000	0.439672  	38.000000	0.450233  	38.000000	0.000179081
41.000000	0.713648  	41.000000	0.42567   	41.000000	0.416443  	41.000000	0.416775  	41.000000	0.416441  	41.000000	0.425503  	41.000000	0.000167389
44.000000	0.67458   	44.000000	0.403895  	44.000000	0.395944  	44.000000	0.396083  	44.000000	0.395967  	44.000000	0.403738  	44.000000	0.000157199
47.000000	0.640139  	47.000000	0.384579  	47.000000	0.37778   	47.000000	0.377712  	47.000000	0.37777   	47.000000	0.384431  	47.000000	0.000148234
50.000000	0.609536  	50.000000	0.367325  	50.000000	0.361512  	50.000000	0.361278  	50.000000	0.361478  	50.000000	0.367185  	50.000000	0.000140283
55.000000	0.565435  	55.000000	0.342319  	55.000000	0.337805  	55.000000	0.337406  	55.000000	0.337784  	55.000000	0.34219   	55.000000	0.00012885
60.000000	0.528183  	60.000000	0.321075  	60.000000	0.317581  	60.000000	0.317057  	60.000000	0.317564  	60.000000	0.320955  	60.000000	0.000119218
65.000000	0.496272  	65.000000	0.302795  	65.000000	0.300068  	65.000000	0.299486  	65.000000	0.300087  	65.000000	0.302684  	65.000000	0.000110985
70.000000	0.468609  	70.000000	0.286894  	70.000000	0.284838  	70.000000	0.284147  	70.000000	0.284819  	70.000000	0.28679   	70.000000	0.000103864
75.000000	0.444384  	75.000000	0.272932  	75.000000	0.271346  	75.000000	0.270632  	75.000000	0.271356  	75.000000	0.272834  	75.000000	9.76407e-05
80.000000	0.422981  	80.000000	0.260571  	80.000000	0.259405  	80.000000	0.258627  	80.000000	0.259391  	80.000000	0.260478  	80.000000	9.21527e-05
85.000000	0.403924  	85.000000	0.249548  	85.000000	0.248675  	85.000000	0.247888  	85.000000	0.248681  	85.000000	0.24946   	85.000000	8.72754e-05
90.000000	0.386839  	90.000000	0.239655  	90.000000	0.239058  	90.000000	0.23822   	90.000000	0.239035  	90.000000	0.239572  	90.000000	8.29106e-05
95.000000	0.371428  	95.000000	0.230725  	95.000000	0.230309  	95.000000	0.229469  	95.000000	0.230301  	95.000000	0.230646  	95.000000	7.89804e-05
100.000000	0.357453  	100.000000	0.222623  	100.000000	0.22235   	100.000000	0.221509  	100.000000	0.222353  	100.000000	0.222547  	100.000000	7.54222e-05
105.000000	0.344716  	105.000000	0.215237  	105.000000	0.215073  	105.000000	0.214234  	105.000000	0.215087  	105.000000	0.215165  	105.000000	7.21847e-05
110.000000	0.333056  	110.000000	0.208477  	110.000000	0.208429  	110.000000	0.20756   	110.000000	0.20842   	110.000000	0.208408  	110.000000	6.92257e-05
115.000000	0.322339  	115.000000	0.202265  	115.000000	0.202293  	115.000000	0.201413  	115.000000	0.202277  	115.000000	0.202198  	115.000000	6.65104e-05
