*! 9Li energy loss (dE/dX) in C
*! apply ZOOM for details
*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
175.000000	0.00805067	175.000000	0.00888986	175.000000	0.00885558	175.000000	0.00883639	175.000000	0.00881465	175.000000	0.00888685	175.000000	3.00643e-06	
180.000000	0.00790554	180.000000	0.0087264 	180.000000	0.00869096	180.000000	0.00867202	180.000000	0.00865101	180.000000	0.00872347	180.000000	2.92912e-06	
185.000000	0.0077678 	185.000000	0.00857145	185.000000	0.00853458	185.000000	0.00851621	185.000000	0.00849587	185.000000	0.0085686 	185.000000	2.85582e-06	
190.000000	0.00763689	190.000000	0.00842438	190.000000	0.00838622	190.000000	0.0083683 	190.000000	0.00834861	190.000000	0.00842159	190.000000	2.78623e-06	
195.000000	0.00751232	195.000000	0.00828458	195.000000	0.00824563	195.000000	0.00822771	195.000000	0.00820862	195.000000	0.00828186	195.000000	2.72007e-06	
200.000000	0.00739362	200.000000	0.00815155	200.000000	0.00811209	200.000000	0.00809391	200.000000	0.0080754 	200.000000	0.00814889	200.000000	2.65709e-06	
210.000000	0.00717226	210.000000	0.00790387	210.000000	0.00786248	210.000000	0.00784483	210.000000	0.00782737	210.000000	0.00790133	210.000000	2.53977e-06	
220.000000	0.00696994	220.000000	0.00767803	220.000000	0.00763555	220.000000	0.00761773	220.000000	0.00760121	220.000000	0.0076756 	220.000000	2.4327e-06	
230.000000	0.00678429	230.000000	0.00747127	230.000000	0.00742735	230.000000	0.00740984	230.000000	0.00739417	230.000000	0.00746893	230.000000	2.33459e-06	
240.000000	0.00661332	240.000000	0.00728126	240.000000	0.00723564	240.000000	0.00721884	240.000000	0.00720395	240.000000	0.00727902	240.000000	2.24435e-06	
250.000000	0.00645535	250.000000	0.00710607	250.000000	0.00705967	250.000000	0.00704278	250.000000	0.0070286 	250.000000	0.00710391	250.000000	2.16104e-06	
260.000000	0.00630894	260.000000	0.00694404	260.000000	0.00689682	260.000000	0.00687999	260.000000	0.00686645	260.000000	0.00694196	260.000000	2.08391e-06	
270.000000	0.00617287	270.000000	0.00679375	270.000000	0.00674551	270.000000	0.00672905	270.000000	0.00671611	270.000000	0.00679174	270.000000	2.01226e-06	
280.000000	0.00604608	280.000000	0.00665398	280.000000	0.00660543	280.000000	0.00658873	280.000000	0.00657633	280.000000	0.00665204	280.000000	1.94554e-06	
290.000000	0.00592764	290.000000	0.00652368	290.000000	0.00647439	290.000000	0.00645796	290.000000	0.00644607	290.000000	0.0065218 	290.000000	1.88325e-06	
300.000000	0.00581678	300.000000	0.00640192	300.000000	0.00635173	300.000000	0.00633583	300.000000	0.00632439	300.000000	0.0064001 	300.000000	1.82496e-06	
310.000000	0.00571277	310.000000	0.00628791	310.000000	0.00623722	310.000000	0.00622151	310.000000	0.00621051	310.000000	0.00628614	310.000000	1.77028e-06	
320.000000	0.00561503	320.000000	0.00618094	320.000000	0.00613021	320.000000	0.0061143 	320.000000	0.0061037 	320.000000	0.00617922	320.000000	1.71889e-06	
330.000000	0.00552299	330.000000	0.00608039	330.000000	0.00602939	330.000000	0.00601357	330.000000	0.00600335	330.000000	0.00607872	330.000000	1.6705e-06	
340.000000	0.00543618	340.000000	0.00598572	340.000000	0.00593419	340.000000	0.00591876	340.000000	0.0059089 	340.000000	0.00598409	340.000000	1.62484e-06	
350.000000	0.00535417	350.000000	0.00589642	350.000000	0.00584447	350.000000	0.00582939	350.000000	0.00581985	350.000000	0.00589484	350.000000	1.5817e-06	
360.000000	0.00527658	360.000000	0.00581207	360.000000	0.0057601 	360.000000	0.00574502	360.000000	0.00573579	360.000000	0.00581053	360.000000	1.54087e-06	
370.000000	0.00520308	370.000000	0.00573227	370.000000	0.00567977	370.000000	0.00566453	370.000000	0.00565559	370.000000	0.00573077	370.000000	1.50216e-06	
380.000000	0.00513335	380.000000	0.00565669	380.000000	0.00560339	380.000000	0.00558831	380.000000	0.00557964	380.000000	0.00565522	380.000000	1.46541e-06	
390.000000	0.00506711	390.000000	0.005585  	390.000000	0.00553087	390.000000	0.00551605	390.000000	0.00550764	390.000000	0.00558357	390.000000	1.43047e-06	
400.000000	0.00500412	400.000000	0.00551692	400.000000	0.00546233	400.000000	0.00544746	400.000000	0.00543929	400.000000	0.00551552	400.000000	1.39722e-06	
410.000000	0.00494416	410.000000	0.00545219	410.000000	0.00539727	410.000000	0.00538227	410.000000	0.00537433	410.000000	0.00545082	410.000000	1.36553e-06	
420.000000	0.00488701	420.000000	0.00539058	420.000000	0.00533515	420.000000	0.00532026	420.000000	0.00531253	420.000000	0.00538925	420.000000	1.33529e-06	
430.000000	0.00483248	430.000000	0.00533188	430.000000	0.00527583	430.000000	0.00526119	430.000000	0.00525368	430.000000	0.00533058	430.000000	1.30641e-06	
440.000000	0.00478042	440.000000	0.0052759 	440.000000	0.00521926	440.000000	0.00520489	440.000000	0.00519757	440.000000	0.00527462	440.000000	1.27879e-06	
450.000000	0.00473066	450.000000	0.00522246	450.000000	0.00516537	450.000000	0.00515116	450.000000	0.00514402	450.000000	0.00522121	450.000000	1.25235e-06	
460.000000	0.00468306	460.000000	0.0051714 	460.000000	0.00511408	460.000000	0.00509984	460.000000	0.00509289	460.000000	0.00517017	460.000000	1.22702e-06	
470.000000	0.00463749	470.000000	0.00512257	470.000000	0.00506513	470.000000	0.00505079	470.000000	0.005044  	470.000000	0.00512137	470.000000	1.20272e-06	
480.000000	0.00459382	480.000000	0.00507584	480.000000	0.00501823	480.000000	0.00500386	480.000000	0.00499723	480.000000	0.00507466	480.000000	1.1794e-06	
490.000000	0.00455196	490.000000	0.00503108	490.000000	0.00497317	490.000000	0.00495893	490.000000	0.00495245	490.000000	0.00502992	490.000000	1.157e-06 	
500.000000	0.00451178	500.000000	0.00498817	500.000000	0.00492991	500.000000	0.00491587	500.000000	0.00490954	500.000000	0.00498704	500.000000	1.13546e-06	
520.000000	0.00443615	520.000000	0.00490752	520.000000	0.00484865	520.000000	0.00483497	520.000000	0.00482892	520.000000	0.00490642	520.000000	1.09478e-06	
540.000000	0.00436626	540.000000	0.00483311	540.000000	0.0047741 	540.000000	0.00476039	540.000000	0.00475458	540.000000	0.00483205	540.000000	1.057e-06 	
560.000000	0.00430151	560.000000	0.0047643 	560.000000	0.00470523	560.000000	0.00469145	560.000000	0.00468588	560.000000	0.00476328	560.000000	1.02183e-06	
580.000000	0.0042414 	580.000000	0.00470053	580.000000	0.0046411 	580.000000	0.00462758	580.000000	0.00462222	580.000000	0.00469954	580.000000	9.8899e-07	
600.000000	0.00418549	600.000000	0.0046413 	600.000000	0.00458177	600.000000	0.00456828	600.000000	0.00456312	600.000000	0.00464034	600.000000	9.58263e-07	
620.000000	0.0041334 	620.000000	0.00458619	620.000000	0.00452672	620.000000	0.00451311	620.000000	0.00450813	620.000000	0.00458526	620.000000	9.29447e-07	
640.000000	0.00408479	640.000000	0.00453482	640.000000	0.00447518	640.000000	0.0044617 	640.000000	0.00445688	640.000000	0.00453391	640.000000	9.02368e-07	
660.000000	0.00403935	660.000000	0.00448685	660.000000	0.00442692	660.000000	0.00441368	660.000000	0.00440903	660.000000	0.00448598	660.000000	8.76871e-07	
680.000000	0.00399682	680.000000	0.00444201	680.000000	0.0043818 	680.000000	0.00436878	680.000000	0.00436428	680.000000	0.00444115	680.000000	8.52821e-07	
700.000000	0.00395697	700.000000	0.00440001	700.000000	0.00433968	700.000000	0.00432672	700.000000	0.00432236	700.000000	0.00439918	700.000000	8.30096e-07	
720.000000	0.00391958	720.000000	0.00436064	720.000000	0.00430031	720.000000	0.00428727	720.000000	0.00428303	720.000000	0.00435983	720.000000	8.08588e-07	
740.000000	0.00388446	740.000000	0.00432369	740.000000	0.0042633 	740.000000	0.00425021	740.000000	0.00424609	740.000000	0.0043229 	740.000000	7.88202e-07	
760.000000	0.00385145	760.000000	0.00428896	760.000000	0.00422836	760.000000	0.00421535	760.000000	0.00421135	760.000000	0.00428819	760.000000	7.6885e-07	
780.000000	0.00382039	780.000000	0.0042563 	780.000000	0.00419537	780.000000	0.00418253	780.000000	0.00417864	780.000000	0.00425555	780.000000	7.50456e-07	
800.000000	0.00379115	800.000000	0.00422555	800.000000	0.00416425	800.000000	0.00415159	800.000000	0.0041478 	800.000000	0.00422481	800.000000	7.32949e-07	
820.000000	0.00376359	820.000000	0.00419657	820.000000	0.00413492	820.000000	0.00412239	820.000000	0.0041187 	820.000000	0.00419585	820.000000	7.16266e-07	
840.000000	0.00373761	840.000000	0.00416924	840.000000	0.0041073 	840.000000	0.00409481	840.000000	0.00409121	840.000000	0.00416854	840.000000	7.00349e-07	
860.000000	0.00371309	860.000000	0.00414345	860.000000	0.00408127	860.000000	0.00406873	860.000000	0.00406521	860.000000	0.00414277	860.000000	6.85146e-07	
880.000000	0.00368995	880.000000	0.0041191 	880.000000	0.00405665	880.000000	0.00404405	880.000000	0.00404061	880.000000	0.00411843	880.000000	6.7061e-07	
