*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
35.000000	0.202808  	35.000000	0.119717  	35.000000	0.115992  	35.000000	0.115948  	35.000000	0.116003  	35.000000	0.119666  	35.000000	5.07639e-05	
38.000000	0.189812  	38.000000	0.112618  	38.000000	0.109398  	38.000000	0.109333  	38.000000	0.109406  	38.000000	0.112571  	38.000000	4.71684e-05	
41.000000	0.178586  	41.000000	0.106428  	41.000000	0.103642  	41.000000	0.103558  	41.000000	0.103646  	41.000000	0.106384  	41.000000	4.407e-05 	
44.000000	0.168785  	44.000000	0.100981  	44.000000	0.0985655 	44.000000	0.0984676 	44.000000	0.0985659 	44.000000	0.10094   	44.000000	4.13709e-05	
47.000000	0.160148  	47.000000	0.0961501 	47.000000	0.0940554 	47.000000	0.0939424 	47.000000	0.0940488 	47.000000	0.0961111 	47.000000	3.89975e-05	
50.000000	0.152477  	50.000000	0.0918353 	50.000000	0.090002  	50.000000	0.0898901 	50.000000	0.0900026 	50.000000	0.0917985 	50.000000	3.68934e-05	
55.000000	0.141427  	55.000000	0.0855826 	55.000000	0.084114  	55.000000	0.0839962 	55.000000	0.0841158 	55.000000	0.0855488 	55.000000	3.38695e-05	
60.000000	0.132097  	60.000000	0.0802708 	60.000000	0.0790921 	60.000000	0.0789655 	60.000000	0.0790896 	60.000000	0.0802395 	60.000000	3.13232e-05	
65.000000	0.124107  	65.000000	0.0757004 	65.000000	0.07474   	65.000000	0.0746168 	65.000000	0.0747436 	65.000000	0.0756713 	65.000000	2.91483e-05	
70.000000	0.117183  	70.000000	0.071725  	70.000000	0.0709524 	70.000000	0.0708172 	70.000000	0.0709455 	70.000000	0.0716977 	70.000000	2.72679e-05	
75.000000	0.11112   	75.000000	0.0682343 	75.000000	0.067595  	75.000000	0.0674667 	75.000000	0.0675957 	75.000000	0.0682086 	75.000000	2.56252e-05	
80.000000	0.105764  	80.000000	0.0651439 	80.000000	0.0646224 	80.000000	0.0644885 	80.000000	0.0646178 	80.000000	0.0651197 	80.000000	2.41773e-05	
85.000000	0.100996  	85.000000	0.062388  	85.000000	0.0619501 	85.000000	0.0618229 	85.000000	0.0619519 	85.000000	0.0623651 	85.000000	2.2891e-05	
90.000000	0.0967222 	90.000000	0.0599147 	90.000000	0.0595542 	90.000000	0.0594221 	90.000000	0.0595505 	90.000000	0.059893  	90.000000	2.17402e-05	
95.000000	0.0928674 	95.000000	0.0576822 	95.000000	0.057374  	95.000000	0.0572481 	95.000000	0.0573757 	95.000000	0.0576615 	95.000000	2.07044e-05	
100.000000	0.0893717 	100.000000	0.0556566 	100.000000	0.0553997 	100.000000	0.0552695 	100.000000	0.0553964 	100.000000	0.0556368 	100.000000	1.97669e-05	
105.000000	0.086186  	105.000000	0.0538102 	105.000000	0.0535856 	105.000000	0.053461  	105.000000	0.0535868 	105.000000	0.0537913 	105.000000	1.89141e-05	
110.000000	0.0832699 	110.000000	0.0521201 	110.000000	0.0519285 	110.000000	0.051801  	110.000000	0.0519259 	110.000000	0.0521019 	110.000000	1.81349e-05	
115.000000	0.0805898 	115.000000	0.0505669 	115.000000	0.0503967 	115.000000	0.050272  	115.000000	0.0503957 	115.000000	0.0505495 	115.000000	1.742e-05 	
120.000000	0.0781174 	120.000000	0.0491347 	120.000000	0.048982  	120.000000	0.0488588 	120.000000	0.0489814 	120.000000	0.0491179 	120.000000	1.67618e-05	
125.000000	0.0758289 	125.000000	0.0478097 	125.000000	0.0476741 	125.000000	0.0475485 	125.000000	0.0476701 	125.000000	0.0477935 	125.000000	1.61535e-05	
130.000000	0.073704  	130.000000	0.0465801 	130.000000	0.0464512 	130.000000	0.0463303 	130.000000	0.0464509 	130.000000	0.0465645 	130.000000	1.55897e-05	
135.000000	0.0717253 	135.000000	0.0454361 	135.000000	0.0453108 	135.000000	0.0451948 	135.000000	0.0453142 	135.000000	0.045421  	135.000000	1.50655e-05	
140.000000	0.0698779 	140.000000	0.0443688 	140.000000	0.0442506 	140.000000	0.0441336 	140.000000	0.044252  	140.000000	0.0443543 	140.000000	1.45769e-05	
145.000000	0.0681488 	145.000000	0.0433709 	145.000000	0.0432579 	145.000000	0.0431398 	145.000000	0.0432571 	145.000000	0.0433568 	145.000000	1.41204e-05	
150.000000	0.0665267 	150.000000	0.0424356 	150.000000	0.0423213 	150.000000	0.042207  	150.000000	0.0423233 	150.000000	0.0424219 	150.000000	1.36927e-05	
155.000000	0.0642427 	155.000000	0.0415573 	155.000000	0.0414449 	155.000000	0.0413298 	155.000000	0.0414451 	155.000000	0.041544  	155.000000	1.32913e-05	
160.000000	0.0629039 	160.000000	0.0407309 	160.000000	0.0406195 	160.000000	0.0405034 	160.000000	0.0406177 	160.000000	0.040718  	160.000000	1.29138e-05	
165.000000	0.0616415 	165.000000	0.0399519 	165.000000	0.0398362 	165.000000	0.0397234 	165.000000	0.0398369 	165.000000	0.0399393 	165.000000	1.2558e-05	
170.000000	0.0604489 	170.000000	0.0392162 	170.000000	0.0390986 	170.000000	0.0389861 	170.000000	0.0390986 	170.000000	0.039204  	170.000000	1.22221e-05	
175.000000	0.0593205 	175.000000	0.0385205 	175.000000	0.0384023 	175.000000	0.0382881 	175.000000	0.0383997 	175.000000	0.0385086 	175.000000	1.19044e-05	
180.000000	0.0582512 	180.000000	0.0378615 	180.000000	0.037739  	180.000000	0.0376263 	180.000000	0.037737  	180.000000	0.0378499 	180.000000	1.16035e-05	
185.000000	0.0572362 	185.000000	0.0372363 	185.000000	0.0371073 	185.000000	0.0369979 	185.000000	0.0371078 	185.000000	0.037225  	185.000000	1.13181e-05	
190.000000	0.0562717 	190.000000	0.0366425 	190.000000	0.0365072 	190.000000	0.0364006 	190.000000	0.0365096 	190.000000	0.0366315 	190.000000	1.1047e-05	
195.000000	0.0553538 	195.000000	0.0360777 	195.000000	0.0359387 	195.000000	0.035832  	195.000000	0.0359403 	195.000000	0.0360669 	195.000000	1.07891e-05	
200.000000	0.0544792 	200.000000	0.0355399 	200.000000	0.0353984 	200.000000	0.0352902 	200.000000	0.0353977 	200.000000	0.0355294 	200.000000	1.05435e-05	
210.000000	0.0528481 	210.000000	0.0345377 	210.000000	0.0343848 	210.000000	0.0342798 	210.000000	0.0343858 	210.000000	0.0345276 	210.000000	1.00857e-05	
220.000000	0.0513573 	220.000000	0.0336229 	220.000000	0.0334625 	220.000000	0.0333564 	220.000000	0.0334609 	220.000000	0.0336133 	220.000000	9.66753e-06	
230.000000	0.0499894 	230.000000	0.0327845 	230.000000	0.0326137 	230.000000	0.0325095 	230.000000	0.0326127 	230.000000	0.0327753 	230.000000	9.28401e-06	
240.000000	0.0487296 	240.000000	0.0320135 	240.000000	0.0318299 	240.000000	0.03173   	240.000000	0.0318319 	240.000000	0.0320045 	240.000000	8.93095e-06	
250.000000	0.0475656 	250.000000	0.0313019 	250.000000	0.0311108 	250.000000	0.0310103 	250.000000	0.0311111 	250.000000	0.0312933 	250.000000	8.60481e-06	
260.000000	0.0464868 	260.000000	0.0306434 	260.000000	0.030444  	260.000000	0.0303439 	260.000000	0.0304436 	260.000000	0.0306351 	260.000000	8.30259e-06	
270.000000	0.0454842 	270.000000	0.0300321 	270.000000	0.0298232 	270.000000	0.0297253 	270.000000	0.0298238 	270.000000	0.0300241 	270.000000	8.02171e-06	
280.000000	0.0445499 	280.000000	0.0294633 	280.000000	0.0292489 	280.000000	0.0291495 	280.000000	0.029247  	280.000000	0.0294555 	280.000000	7.75996e-06	
290.000000	0.0436772 	290.000000	0.0289327 	290.000000	0.0287101 	290.000000	0.0286124 	290.000000	0.028709  	290.000000	0.0289252 	290.000000	7.51542e-06	
300.000000	0.0428603 	300.000000	0.0284366 	300.000000	0.0282049 	300.000000	0.0281103 	300.000000	0.0282059 	300.000000	0.0284294 	300.000000	7.28643e-06	
310.000000	0.042094  	310.000000	0.0279719 	310.000000	0.0277335 	310.000000	0.02764   	310.000000	0.0277348 	310.000000	0.0279649 	310.000000	7.07153e-06	
320.000000	0.0413737 	320.000000	0.0275357 	320.000000	0.0272933 	320.000000	0.0271986 	320.000000	0.0272926 	320.000000	0.0275289 	320.000000	6.86944e-06	
330.000000	0.0406956 	330.000000	0.0271256 	330.000000	0.0268779 	330.000000	0.0267837 	330.000000	0.0268769 	330.000000	0.0271189 	330.000000	6.67903e-06	
340.000000	0.0400559 	340.000000	0.0267392 	340.000000	0.0264849 	340.000000	0.0263931 	340.000000	0.0264855 	340.000000	0.0267327 	340.000000	6.49931e-06	
350.000000	0.0394517 	350.000000	0.0263747 	350.000000	0.0261144 	350.000000	0.0260247 	350.000000	0.0261163 	350.000000	0.0263684 	350.000000	6.32939e-06	
360.000000	0.03888   	360.000000	0.0260303 	360.000000	0.0257665 	360.000000	0.0256768 	360.000000	0.0257677 	360.000000	0.0260241 	360.000000	6.16848e-06	
370.000000	0.0383384 	370.000000	0.0257043 	370.000000	0.0254384 	370.000000	0.0253477 	370.000000	0.025438  	370.000000	0.0256983 	370.000000	6.01587e-06	
