*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
29.000000	1.7758    	29.000000	0.989589  	29.000000	0.947555  	29.000000	0.961213  	29.000000	0.989194  	29.000000	0.00039568	
31.000000	1.68404   	31.000000	0.943201  	31.000000	0.903633  	31.000000	0.915641  	31.000000	0.942828  	31.000000	0.000373123	
33.000000	1.60237   	33.000000	0.901438  	33.000000	0.864613  	33.000000	0.874703  	33.000000	0.901085  	33.000000	0.000353126	
35.000000	1.52918   	35.000000	0.863649  	35.000000	0.829923  	35.000000	0.83847   	35.000000	0.863314  	35.000000	0.000335269	
38.000000	1.43257   	38.000000	0.813266  	38.000000	0.783838  	38.000000	0.790419  	38.000000	0.812954  	38.000000	0.000311789	
41.000000	1.34891   	41.000000	0.769189  	41.000000	0.743467  	41.000000	0.748554  	41.000000	0.768897  	41.000000	0.000291534	
44.000000	1.2757    	44.000000	0.730306  	44.000000	0.707849  	44.000000	0.711703  	44.000000	0.730032  	44.000000	0.000273873	
47.000000	1.21109   	47.000000	0.695749  	47.000000	0.676071  	47.000000	0.678979  	47.000000	0.695491  	47.000000	0.00025833	
50.000000	1.1536    	50.000000	0.664833  	50.000000	0.647576  	50.000000	0.649701  	50.000000	0.664589  	50.000000	0.000244539	
55.000000	1.07066   	55.000000	0.619956  	55.000000	0.605972  	55.000000	0.607154  	55.000000	0.619731  	55.000000	0.000224701	
60.000000	1.00051   	60.000000	0.581769  	60.000000	0.570532  	60.000000	0.570869  	60.000000	0.581561  	60.000000	0.000207979	
65.000000	0.940348  	65.000000	0.548873  	65.000000	0.539757  	65.000000	0.53952   	65.000000	0.548679  	65.000000	0.000193681	
70.000000	0.888153  	70.000000	0.520232  	70.000000	0.512765  	70.000000	0.51214   	70.000000	0.520051  	70.000000	0.000181308	
75.000000	0.842411  	75.000000	0.495065  	75.000000	0.489012  	75.000000	0.488003  	75.000000	0.494894  	75.000000	0.000170492	
80.000000	0.801972  	80.000000	0.472771  	80.000000	0.467812  	80.000000	0.466552  	80.000000	0.47261   	80.000000	0.00016095	
85.000000	0.765947  	85.000000	0.452881  	85.000000	0.448819  	85.000000	0.447354  	85.000000	0.452729  	85.000000	0.000152467	
90.000000	0.733636  	90.000000	0.435024  	90.000000	0.431706  	90.000000	0.430065  	90.000000	0.434879  	90.000000	0.000144874	
95.000000	0.704481  	95.000000	0.4189    	95.000000	0.416201  	95.000000	0.414409  	95.000000	0.418762  	95.000000	0.000138035	
100.000000	0.678031  	100.000000	0.404266  	100.000000	0.402085  	100.000000	0.40016   	100.000000	0.404134  	100.000000	0.000131841	
105.000000	0.653919  	105.000000	0.390924  	105.000000	0.389181  	105.000000	0.387136  	105.000000	0.390797  	105.000000	0.000126205	
110.000000	0.631841  	110.000000	0.378708  	110.000000	0.377268  	110.000000	0.375181  	110.000000	0.378587  	110.000000	0.000121052	
115.000000	0.611544  	115.000000	0.36748   	115.000000	0.366331  	115.000000	0.364169  	115.000000	0.367364  	115.000000	0.000116323	
120.000000	0.592816  	120.000000	0.357125  	120.000000	0.356218  	120.000000	0.35399   	120.000000	0.357013  	120.000000	0.000111966	
125.000000	0.575477  	125.000000	0.347544  	125.000000	0.346792  	125.000000	0.344552  	125.000000	0.347436  	125.000000	0.000107938	
130.000000	0.559375  	130.000000	0.338652  	130.000000	0.338039  	130.000000	0.335777  	130.000000	0.338547  	130.000000	0.000104203	
135.000000	0.544379  	135.000000	0.330377  	135.000000	0.32992   	135.000000	0.327597  	135.000000	0.330276  	135.000000	0.00010073	
140.000000	0.530375  	140.000000	0.322657  	140.000000	0.32231   	140.000000	0.319952  	140.000000	0.322559  	140.000000	9.74912e-05	
145.000000	0.517266  	145.000000	0.315437  	145.000000	0.315154  	145.000000	0.312791  	145.000000	0.315343  	145.000000	9.44637e-05	
150.000000	0.504967  	150.000000	0.308671  	150.000000	0.308444  	150.000000	0.306071  	150.000000	0.308579  	150.000000	9.1627e-05	
155.000000	0.487642  	155.000000	0.302315  	155.000000	0.302132  	155.000000	0.29975   	155.000000	0.302227  	155.000000	8.89634e-05	
160.000000	0.47749   	160.000000	0.296335  	160.000000	0.296183  	160.000000	0.293795  	160.000000	0.296249  	160.000000	8.64573e-05	
165.000000	0.467916  	165.000000	0.290698  	165.000000	0.290568  	165.000000	0.288174  	165.000000	0.290614  	165.000000	8.40949e-05	
170.000000	0.458871  	170.000000	0.285374  	170.000000	0.285259  	170.000000	0.282861  	170.000000	0.285292  	170.000000	8.1864e-05	
175.000000	0.450313  	175.000000	0.280339  	175.000000	0.280232  	175.000000	0.27783   	175.000000	0.280259  	175.000000	7.97538e-05	
180.000000	0.442201  	180.000000	0.275569  	180.000000	0.275465  	180.000000	0.27306   	180.000000	0.275491  	180.000000	7.77545e-05	
185.000000	0.434502  	185.000000	0.271044  	185.000000	0.270937  	185.000000	0.268531  	185.000000	0.270968  	185.000000	7.58576e-05	
190.000000	0.427184  	190.000000	0.266745  	190.000000	0.266632  	190.000000	0.264225  	190.000000	0.266671  	190.000000	7.40551e-05	
195.000000	0.420221  	195.000000	0.262657  	195.000000	0.262538  	195.000000	0.260127  	195.000000	0.262584  	195.000000	7.23402e-05	
