*Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
7022.472770	8.27157e+06	8.59911e+06	9.47864e+06	9.51888e+06	24848.2   	31714.5   	9560.33   	9896.8    	14234.5   
7116.105727	8.3542e+06	8.69748e+06	9.6061e+06	9.64685e+06	25026.7   	32231     	9635.75   	9981.71   	14361.7   
7209.738684	8.43682e+06	8.79584e+06	9.73357e+06	9.77482e+06	25205.3   	32747.6   	9711.17   	10066.6   	14488.9   
7303.371640	8.51945e+06	8.8942e+06	9.86103e+06	9.9028e+06	25383.8   	33264.1   	9786.59   	10151.5   	14616.1   
7397.004597	8.60208e+06	8.99256e+06	9.98849e+06	1.00308e+07	25562.4   	33780.6   	9862      	10236.4   	14743.3   
7490.637554	8.6847e+06	9.09092e+06	1.0116e+07	1.01587e+07	25740.9   	34297.2   	9937.42   	10321.4   	14870.5   
7584.270511	8.76382e+06	9.18673e+06	1.02427e+07	1.0286e+07	25912.4   	34822.3   	10010.3   	10403.3   	14993.5   
7677.903468	8.84255e+06	9.28226e+06	1.03694e+07	1.04132e+07	26083.2   	35348.4   	10083     	10485     	15116     
7771.536425	8.92128e+06	9.37778e+06	1.04961e+07	1.05404e+07	26253.9   	35874.4   	10155.6   	10566.6   	15238.5   
7865.169382	9.00001e+06	9.4733e+06	1.06228e+07	1.06676e+07	26424.6   	36400.5   	10228.3   	10648.3   	15361.1   
7958.802339	9.07874e+06	9.56883e+06	1.07495e+07	1.07948e+07	26595.4   	36926.5   	10300.9   	10730     	15483.6   
8052.435296	9.15543e+06	9.66284e+06	1.08758e+07	1.09216e+07	26762.2   	37457.8   	10372.2   	10810     	15603.8   
8146.068253	9.23052e+06	9.75567e+06	1.10018e+07	1.10481e+07	26925.9   	37993.1   	10442.4   	10888.7   	15722.2   
8239.701210	9.30561e+06	9.8485e+06	1.11278e+07	1.11746e+07	27089.7   	38528.4   	10512.6   	10967.5   	15840.5   
8333.334167	9.3807e+06	9.94133e+06	1.12538e+07	1.13011e+07	27253.4   	39063.7   	10582.9   	11046.2   	15958.8   
8426.967124	9.45578e+06	1.00342e+07	1.13798e+07	1.14275e+07	27417.2   	39599     	10653.1   	11124.9   	16077.2   
8520.600081	9.53012e+06	1.01264e+07	1.15056e+07	1.15539e+07	27579.6   	40136.2   	10722.8   	11203.1   	16194.7   
8614.233037	9.60181e+06	1.02167e+07	1.16309e+07	1.16797e+07	27737.1   	40680.3   	10790.9   	11279.2   	16309.3   
8707.865994	9.67349e+06	1.0307e+07	1.17562e+07	1.18054e+07	27894.5   	41224.3   	10858.9   	11355.3   	16423.8   
