*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al
41.000000	0.116154  	41.000000	0.109768  	41.000000	0.108561  	41.000000	0.108626  	41.000000	0.108562  	41.000000	0.109722  	41.000000	4.60067e-05
44.000000	0.109796  	44.000000	0.103815  	44.000000	0.102744  	44.000000	0.102771  	44.000000	0.102749  	44.000000	0.103771  	44.000000	4.31538e-05
47.000000	0.10419   	47.000000	0.0985603 	47.000000	0.0976162 	47.000000	0.097603  	47.000000	0.0976146 	47.000000	0.0985197 	47.000000	4.06475e-05
50.000000	0.0992089 	50.000000	0.0938877 	50.000000	0.0930499 	50.000000	0.0930045 	50.000000	0.0930435 	50.000000	0.0938492 	50.000000	3.84275e-05
55.000000	0.0920309 	55.000000	0.0871495 	55.000000	0.086446  	55.000000	0.0863686 	55.000000	0.0864421 	55.000000	0.0871143 	55.000000	3.52405e-05
60.000000	0.0859677 	60.000000	0.0814555 	60.000000	0.080857  	60.000000	0.0807552 	60.000000	0.0808538 	60.000000	0.0814229 	60.000000	3.25603e-05
65.000000	0.0807738 	65.000000	0.0765779 	65.000000	0.0760549 	65.000000	0.0759417 	65.000000	0.0760586 	65.000000	0.0765476 	65.000000	3.02735e-05
70.000000	0.0762714 	70.000000	0.0723511 	70.000000	0.0719003 	70.000000	0.071766  	70.000000	0.0718965 	70.000000	0.0723228 	70.000000	2.82983e-05
75.000000	0.0723285 	75.000000	0.0686516 	75.000000	0.0682464 	75.000000	0.0681076 	75.000000	0.0682484 	75.000000	0.0686251 	75.000000	2.65744e-05
80.000000	0.0688449 	80.000000	0.0653857 	80.000000	0.065026  	80.000000	0.0648748 	80.000000	0.0650233 	80.000000	0.0653606 	80.000000	2.50562e-05
85.000000	0.0657431 	85.000000	0.0624805 	85.000000	0.0621494 	85.000000	0.0619963 	85.000000	0.0621505 	85.000000	0.0624568 	85.000000	2.37085e-05
90.000000	0.0629623 	90.000000	0.0598788 	90.000000	0.0595793 	90.000000	0.0594164 	90.000000	0.0595748 	90.000000	0.0598563 	90.000000	2.25037e-05
95.000000	0.0604541 	95.000000	0.057535  	95.000000	0.0572534 	95.000000	0.0570902 	95.000000	0.057252  	95.000000	0.0575136 	95.000000	2.14199e-05
100.000000	0.0581794 	100.000000	0.0554122 	100.000000	0.0551453 	100.000000	0.0549818 	100.000000	0.055146  	100.000000	0.0553917 	100.000000	2.04396e-05
105.000000	0.0561063 	105.000000	0.0534802 	105.000000	0.0532247 	105.000000	0.0530616 	105.000000	0.0532275 	105.000000	0.0534606 	105.000000	1.95485e-05
110.000000	0.0542086 	110.000000	0.0517142 	110.000000	0.0514743 	110.000000	0.0513053 	110.000000	0.0514725 	110.000000	0.0516954 	110.000000	1.87347e-05
115.000000	0.0524643 	115.000000	0.0500935 	115.000000	0.0498635 	115.000000	0.0496926 	115.000000	0.0498604 	115.000000	0.0500755 	115.000000	1.79885e-05
120.000000	0.0508551 	120.000000	0.0486007 	120.000000	0.0483759 	120.000000	0.0482063 	120.000000	0.0483747 	120.000000	0.0485834 	120.000000	1.73017e-05
125.000000	0.0493656 	125.000000	0.0472211 	125.000000	0.0470015 	125.000000	0.0468322 	125.000000	0.0470007 	125.000000	0.0472045 	125.000000	1.66674e-05
