* 27Al energy loss (dE/dX) in Al
* apply ZOOM for details
*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
135.000000	0.219     	135.000000	0.210085  	135.000000	0.209779  	135.000000	0.208475  	135.000000	0.209782  	135.000000	0.210014  	135.000000	7.06274e-05	
140.000000	0.213376  	140.000000	0.204884  	140.000000	0.204614  	140.000000	0.203276  	140.000000	0.204611  	140.000000	0.204816  	140.000000	6.83206e-05	
145.000000	0.208111  	145.000000	0.200025  	145.000000	0.199771  	145.000000	0.198417  	145.000000	0.199773  	145.000000	0.199959  	145.000000	6.61657e-05	
150.000000	0.20317   	150.000000	0.195475  	150.000000	0.195238  	150.000000	0.193866  	150.000000	0.195243  	150.000000	0.195411  	150.000000	6.41478e-05	
155.000000	0.196206  	155.000000	0.191205  	155.000000	0.190982  	155.000000	0.189594  	155.000000	0.190987  	155.000000	0.191142  	155.000000	6.22542e-05	
160.000000	0.192128  	160.000000	0.187189  	160.000000	0.186979  	160.000000	0.185577  	160.000000	0.186983  	160.000000	0.187129  	160.000000	6.04735e-05	
165.000000	0.188281  	165.000000	0.183406  	165.000000	0.183207  	165.000000	0.181793  	165.000000	0.183211  	165.000000	0.183347  	165.000000	5.87958e-05	
170.000000	0.184646  	170.000000	0.179836  	170.000000	0.179646  	170.000000	0.178221  	170.000000	0.179648  	170.000000	0.179779  	170.000000	5.72123e-05	
175.000000	0.181206  	175.000000	0.176461  	175.000000	0.17628   	175.000000	0.174844  	175.000000	0.176279  	175.000000	0.176405  	175.000000	5.57152e-05	
180.000000	0.177946  	180.000000	0.173266  	180.000000	0.173091  	180.000000	0.171647  	180.000000	0.17309   	180.000000	0.173211  	180.000000	5.42975e-05	
185.000000	0.174851  	185.000000	0.170236  	185.000000	0.17007   	185.000000	0.168616  	185.000000	0.170063  	185.000000	0.170183  	185.000000	5.29529e-05	
190.000000	0.17191   	190.000000	0.16736   	190.000000	0.167201  	190.000000	0.165738  	190.000000	0.16719   	190.000000	0.167308  	190.000000	5.1676e-05	
195.000000	0.16911   	195.000000	0.164625  	195.000000	0.164465  	195.000000	0.163002  	195.000000	0.164458  	195.000000	0.164575  	195.000000	5.04615e-05	
200.000000	0.166442  	200.000000	0.162022  	200.000000	0.161854  	200.000000	0.160398  	200.000000	0.161855  	200.000000	0.161973  	200.000000	4.93051e-05	
210.000000	0.161466  	210.000000	0.157175  	210.000000	0.157014  	210.000000	0.155549  	210.000000	0.157011  	210.000000	0.157128  	210.000000	4.71501e-05	
220.000000	0.156917  	220.000000	0.152753  	220.000000	0.152584  	220.000000	0.151127  	220.000000	0.152588  	220.000000	0.152708  	220.000000	4.51825e-05	
230.000000	0.152743  	230.000000	0.148704  	230.000000	0.148541  	230.000000	0.147078  	230.000000	0.148539  	230.000000	0.14866   	230.000000	4.33785e-05	
240.000000	0.148898  	240.000000	0.144981  	240.000000	0.144814  	240.000000	0.143358  	240.000000	0.144816  	240.000000	0.144939  	240.000000	4.17183e-05	
250.000000	0.145344  	250.000000	0.141548  	250.000000	0.141384  	250.000000	0.139929  	250.000000	0.141384  	250.000000	0.141508  	250.000000	4.01851e-05	
260.000000	0.142051  	260.000000	0.138372  	260.000000	0.138214  	260.000000	0.136757  	260.000000	0.138208  	260.000000	0.138333  	260.000000	3.87648e-05	
270.000000	0.13899   	270.000000	0.135426  	270.000000	0.135261  	270.000000	0.133817  	270.000000	0.135263  	270.000000	0.135388  	270.000000	3.74451e-05	
280.000000	0.136137  	280.000000	0.132685  	280.000000	0.132518  	280.000000	0.131083  	280.000000	0.132524  	280.000000	0.132649  	280.000000	3.62156e-05	
290.000000	0.133472  	290.000000	0.13013   	290.000000	0.129974  	290.000000	0.128535  	290.000000	0.129971  	290.000000	0.130095  	290.000000	3.50673e-05	
300.000000	0.130978  	300.000000	0.127742  	300.000000	0.127592  	300.000000	0.126156  	300.000000	0.127586  	300.000000	0.127708  	300.000000	3.39922e-05	
310.000000	0.128637  	310.000000	0.125505  	310.000000	0.125354  	310.000000	0.123929  	310.000000	0.125353  	310.000000	0.125472  	310.000000	3.29835e-05	
320.000000	0.126437  	320.000000	0.123407  	320.000000	0.123258  	320.000000	0.121841  	320.000000	0.123259  	320.000000	0.123375  	320.000000	3.20351e-05	
330.000000	0.124366  	330.000000	0.121434  	330.000000	0.121289  	330.000000	0.119879  	330.000000	0.121291  	330.000000	0.121403  	330.000000	3.11418e-05	
340.000000	0.122412  	340.000000	0.119576  	340.000000	0.119435  	340.000000	0.118033  	340.000000	0.11944   	340.000000	0.119546  	340.000000	3.02988e-05	
350.000000	0.120566  	350.000000	0.117824  	350.000000	0.117686  	350.000000	0.116293  	350.000000	0.117693  	350.000000	0.117795  	350.000000	2.95018e-05	
360.000000	0.11882   	360.000000	0.116169  	360.000000	0.116042  	360.000000	0.114651  	360.000000	0.116045  	360.000000	0.11614   	360.000000	2.87473e-05	
370.000000	0.117165  	370.000000	0.114603  	370.000000	0.114491  	370.000000	0.113098  	370.000000	0.114487  	370.000000	0.114575  	370.000000	2.80318e-05	
380.000000	0.115596  	380.000000	0.11312   	380.000000	0.113018  	380.000000	0.111629  	380.000000	0.113011  	380.000000	0.113092  	380.000000	2.73524e-05	
390.000000	0.114105  	390.000000	0.111713  	390.000000	0.111617  	390.000000	0.110236  	390.000000	0.111612  	390.000000	0.111686  	390.000000	2.67064e-05	
400.000000	0.112687  	400.000000	0.110377  	400.000000	0.110289  	400.000000	0.108914  	400.000000	0.110285  	400.000000	0.110351  	400.000000	2.60913e-05	
410.000000	0.111337  	410.000000	0.109107  	410.000000	0.109027  	410.000000	0.107658  	410.000000	0.109023  	410.000000	0.109081  	410.000000	2.55049e-05	
420.000000	0.11005   	420.000000	0.107898  	420.000000	0.107827  	420.000000	0.106464  	420.000000	0.107824  	420.000000	0.107873  	420.000000	2.49453e-05	
430.000000	0.108823  	430.000000	0.106746  	430.000000	0.106685  	430.000000	0.105327  	430.000000	0.106682  	430.000000	0.106721  	430.000000	2.44106e-05	
440.000000	0.107651  	440.000000	0.105647  	440.000000	0.105596  	440.000000	0.104244  	440.000000	0.105593  	440.000000	0.105623  	440.000000	2.38992e-05	
450.000000	0.106531  	450.000000	0.104599  	450.000000	0.104557  	450.000000	0.10321   	450.000000	0.104554  	450.000000	0.104575  	450.000000	2.34095e-05	
460.000000	0.105459  	460.000000	0.103597  	460.000000	0.103565  	460.000000	0.102224  	460.000000	0.103562  	460.000000	0.103574  	460.000000	2.29403e-05	
470.000000	0.104433  	470.000000	0.102639  	470.000000	0.102617  	470.000000	0.101281  	470.000000	0.102615  	470.000000	0.102616  	470.000000	2.24902e-05	
480.000000	0.10345   	480.000000	0.101722  	480.000000	0.101711  	480.000000	0.100379  	480.000000	0.101708  	480.000000	0.1017    	480.000000	2.20581e-05	
490.000000	0.102507  	490.000000	0.100844  	490.000000	0.100843  	490.000000	0.0995163 	490.000000	0.100841  	490.000000	0.100822  	490.000000	2.16429e-05	
500.000000	0.101603  	500.000000	0.100003  	500.000000	0.100012  	500.000000	0.0986899 	500.000000	0.10001   	500.000000	0.0999813 	500.000000	2.12435e-05	
520.000000	0.0998999 	520.000000	0.0984207 	520.000000	0.0984518 	520.000000	0.097138  	520.000000	0.098449  	520.000000	0.0984003 	520.000000	2.04891e-05	
540.000000	0.0983261 	540.000000	0.0969618 	540.000000	0.0970144 	540.000000	0.0957086 	540.000000	0.0970111 	540.000000	0.096942  	540.000000	1.97883e-05	
560.000000	0.0968682 	560.000000	0.095613  	560.000000	0.0956867 	560.000000	0.0943887 	560.000000	0.0956833 	560.000000	0.0955939 	560.000000	1.91355e-05	
580.000000	0.0955148 	580.000000	0.0943633 	580.000000	0.0944577 	580.000000	0.0931671 	580.000000	0.0944538 	580.000000	0.0943447 	580.000000	1.85259e-05	
600.000000	0.094256  	600.000000	0.0932029 	600.000000	0.093319  	600.000000	0.092034  	600.000000	0.0933139 	600.000000	0.0931849 	600.000000	1.79552e-05	
620.000000	0.093083  	620.000000	0.0921235 	620.000000	0.0922588 	620.000000	0.090981  	620.000000	0.0922535 	620.000000	0.0921061 	620.000000	1.742e-05 	
640.000000	0.0919884 	640.000000	0.0911177 	640.000000	0.0912664 	640.000000	0.0900007 	640.000000	0.0912666 	640.000000	0.0911008 	640.000000	1.69168e-05	
660.000000	0.0909652 	660.000000	0.090179  	660.000000	0.0903412 	660.000000	0.0890863 	660.000000	0.0903459 	660.000000	0.0901626 	660.000000	1.64428e-05	
680.000000	0.0900076 	680.000000	0.0893017 	680.000000	0.0894812 	680.000000	0.0882321 	680.000000	0.0894854 	680.000000	0.0892857 	680.000000	1.59957e-05	
700.000000	0.0891102 	700.000000	0.0884805 	700.000000	0.088678  	700.000000	0.087433  	700.000000	0.0886807 	700.000000	0.0884649 	700.000000	1.5573e-05	
720.000000	0.0882682 	720.000000	0.087711  	720.000000	0.0879245 	720.000000	0.0866842 	720.000000	0.0879263 	720.000000	0.0876958 	720.000000	1.51729e-05	
740.000000	0.0874775 	740.000000	0.086989  	740.000000	0.0872228 	740.000000	0.0859875 	740.000000	0.0872242 	740.000000	0.0869742 	740.000000	1.47936e-05	
760.000000	0.0867342 	760.000000	0.086311  	760.000000	0.0865768 	760.000000	0.085346  	760.000000	0.0865778 	760.000000	0.0862966 	760.000000	1.44334e-05	
780.000000	0.0860348 	780.000000	0.0856736 	780.000000	0.0859692 	780.000000	0.0847426 	780.000000	0.0859694 	780.000000	0.0856595 	780.000000	1.4091e-05	
800.000000	0.0853762 	800.000000	0.0850738 	800.000000	0.085397  	800.000000	0.0841744 	800.000000	0.0853965 	800.000000	0.08506   	800.000000	1.3765e-05	
