Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
110.000000	0.0471506 	110.000000	0.047823  	110.000000	0.0476339 	110.000000	0.0474928 	110.000000	0.0476324 	110.000000	0.0478071 	110.000000	1.59051e-05	
115.000000	0.0456334 	115.000000	0.0463    	115.000000	0.0461152 	115.000000	0.0459725 	115.000000	0.0461126 	115.000000	0.0462847 	115.000000	1.52684e-05	
120.000000	0.0442338 	120.000000	0.0448979 	120.000000	0.0447139 	120.000000	0.0445723 	120.000000	0.0447129 	120.000000	0.0448832 	120.000000	1.46824e-05	
125.000000	0.0429382 	125.000000	0.0436026 	125.000000	0.0434199 	125.000000	0.0432785 	125.000000	0.0434192 	125.000000	0.0435885 	125.000000	1.41414e-05	
130.000000	0.0417352 	130.000000	0.0424025 	130.000000	0.0422202 	130.000000	0.0420793 	130.000000	0.04222   	130.000000	0.0423888 	130.000000	1.36403e-05	
135.000000	0.040615  	135.000000	0.0412872 	135.000000	0.041105  	135.000000	0.0409646 	135.000000	0.0411051 	135.000000	0.041274  	135.000000	1.31747e-05	
140.000000	0.0395691 	140.000000	0.040248  	140.000000	0.0400656 	140.000000	0.0399258 	140.000000	0.0400662 	140.000000	0.0402353 	140.000000	1.2741e-05	
145.000000	0.0385901 	145.000000	0.0392774 	145.000000	0.0390946 	145.000000	0.0389553 	145.000000	0.0390952 	145.000000	0.039265  	145.000000	1.2336e-05	
150.000000	0.0376716 	150.000000	0.0383687 	150.000000	0.0381854 	150.000000	0.0380467 	150.000000	0.0381862 	150.000000	0.0383567 	150.000000	1.19568e-05	
155.000000	0.0363784 	155.000000	0.0375161 	155.000000	0.0373322 	155.000000	0.037194  	155.000000	0.0373331 	155.000000	0.0375045 	155.000000	1.16011e-05	
160.000000	0.0356204 	160.000000	0.0367147 	160.000000	0.0365301 	160.000000	0.0363924 	160.000000	0.0365309 	160.000000	0.0367034 	160.000000	1.12667e-05	
165.000000	0.0349056 	165.000000	0.0359598 	165.000000	0.0357745 	165.000000	0.0356374 	165.000000	0.0357754 	165.000000	0.0359488 	165.000000	1.09517e-05	
170.000000	0.0342304 	170.000000	0.0352476 	170.000000	0.0350615 	170.000000	0.034925  	170.000000	0.0350623 	170.000000	0.0352369 	170.000000	1.06545e-05	
175.000000	0.0335914 	175.000000	0.0345745 	175.000000	0.0343877 	175.000000	0.0342517 	175.000000	0.0343884 	175.000000	0.0345641 	175.000000	1.03736e-05	
180.000000	0.0329859 	180.000000	0.0339374 	180.000000	0.0337498 	180.000000	0.0336144 	180.000000	0.0337505 	180.000000	0.0339272 	180.000000	1.01076e-05	
185.000000	0.0324113 	185.000000	0.0333334 	185.000000	0.0331452 	185.000000	0.0330102 	185.000000	0.0331457 	185.000000	0.0333235 	185.000000	9.85541e-06	
190.000000	0.0318651 	190.000000	0.03276   	190.000000	0.0325712 	190.000000	0.0324368 	190.000000	0.0325717 	190.000000	0.0327504 	190.000000	9.61595e-06	
195.000000	0.0313453 	195.000000	0.0322151 	195.000000	0.0320256 	195.000000	0.0318917 	195.000000	0.032026  	195.000000	0.0322057 	195.000000	9.38827e-06	
200.000000	0.0308501 	200.000000	0.0316964 	200.000000	0.0315063 	200.000000	0.031373  	200.000000	0.0315066 	200.000000	0.0316872 	200.000000	9.17151e-06	
210.000000	0.0299265 	210.000000	0.0307306 	210.000000	0.0305397 	210.000000	0.0304073 	210.000000	0.0305397 	210.000000	0.0307219 	210.000000	8.7677e-06	
220.000000	0.0290823 	220.000000	0.02985   	220.000000	0.0296583 	220.000000	0.0295269 	220.000000	0.0296579 	220.000000	0.0298416 	220.000000	8.39914e-06	
230.000000	0.0283078 	230.000000	0.0290436 	230.000000	0.0288514 	230.000000	0.028721  	230.000000	0.0288508 	230.000000	0.0290355 	230.000000	8.06136e-06	
240.000000	0.0275944 	240.000000	0.0283025 	240.000000	0.02811   	240.000000	0.0279806 	240.000000	0.0281092 	240.000000	0.0282948 	240.000000	7.75061e-06	
250.000000	0.0269353 	250.000000	0.0276192 	250.000000	0.0274271 	250.000000	0.0272981 	250.000000	0.0274256 	250.000000	0.0276117 	250.000000	7.46373e-06	
260.000000	0.0263244 	260.000000	0.0269871 	260.000000	0.0267939 	260.000000	0.0266671 	260.000000	0.0267935 	260.000000	0.0269799 	260.000000	7.19804e-06	
270.000000	0.0257566 	270.000000	0.0264008 	270.000000	0.0262058 	270.000000	0.0260821 	270.000000	0.0262074 	270.000000	0.0263939 	270.000000	6.95126e-06	
280.000000	0.0252276 	280.000000	0.0258556 	280.000000	0.0256615 	280.000000	0.0255382 	280.000000	0.0256624 	280.000000	0.0258489 	280.000000	6.72141e-06	
290.000000	0.0247334 	290.000000	0.0253472 	290.000000	0.025154  	290.000000	0.0250314 	290.000000	0.0251546 	290.000000	0.0253407 	290.000000	6.50679e-06	
300.000000	0.0242709 	300.000000	0.0248722 	300.000000	0.0246799 	300.000000	0.024558  	300.000000	0.0246802 	300.000000	0.0248659 	300.000000	6.30592e-06	
310.000000	0.0238369 	310.000000	0.0244274 	310.000000	0.0242363 	310.000000	0.024115  	310.000000	0.0242362 	310.000000	0.0244213 	310.000000	6.11749e-06	
320.000000	0.023429  	320.000000	0.0240101 	320.000000	0.0238202 	320.000000	0.0236995 	320.000000	0.0238198 	320.000000	0.0240041 	320.000000	5.94039e-06	
330.000000	0.023045  	330.000000	0.0236178 	330.000000	0.0234291 	330.000000	0.0233091 	330.000000	0.0234286 	330.000000	0.023612  	330.000000	5.77359e-06	
