*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
29.000000	0.050515  	29.000000	0.0584955 	29.000000	0.05832   	29.000000	0.0584628 	29.000000	0.0582407 	29.000000	0.0584688 	29.000000	2.66687e-05	
31.000000	0.0478675 	31.000000	0.0554043 	31.000000	0.0553153 	31.000000	0.0554324 	31.000000	0.0552342 	31.000000	0.0553792 	31.000000	2.51019e-05	
33.000000	0.0455154 	33.000000	0.0526578 	33.000000	0.0525958 	33.000000	0.052689  	33.000000	0.0525207 	33.000000	0.0526341 	33.000000	2.3716e-05	
35.000000	0.0434112 	35.000000	0.0502007 	35.000000	0.050163  	35.000000	0.0502354 	35.000000	0.0500921 	35.000000	0.0501782 	35.000000	2.24809e-05	
38.000000	0.0406389 	38.000000	0.0469639 	38.000000	0.0469578 	38.000000	0.0470037 	38.000000	0.0468909 	38.000000	0.046943  	38.000000	2.08608e-05	
41.000000	0.0382424 	41.000000	0.0441669 	41.000000	0.0441879 	41.000000	0.044211  	41.000000	0.0441223 	41.000000	0.0441474 	41.000000	1.94668e-05	
44.000000	0.0361488 	44.000000	0.0417248 	44.000000	0.0417624 	44.000000	0.0417721 	44.000000	0.0417029 	44.000000	0.0417065 	44.000000	1.82543e-05	
47.000000	0.0343032 	47.000000	0.0395733 	47.000000	0.0396277 	47.000000	0.0396229 	47.000000	0.0395695 	47.000000	0.0395561 	47.000000	1.71894e-05	
50.000000	0.0326633 	50.000000	0.0376629 	50.000000	0.0377301 	50.000000	0.0377139 	50.000000	0.0376735 	50.000000	0.0376467 	50.000000	1.62465e-05	
55.000000	0.0303    	55.000000	0.0349129 	55.000000	0.0349921 	55.000000	0.0349644 	55.000000	0.0349409 	55.000000	0.034898  	55.000000	1.48934e-05	
60.000000	0.0283038 	60.000000	0.0325933 	60.000000	0.03268   	60.000000	0.0326436 	60.000000	0.032633  	60.000000	0.0325796 	60.000000	1.37559e-05	
65.000000	0.0265938 	65.000000	0.0306095 	65.000000	0.0306979 	65.000000	0.0306574 	65.000000	0.0306566 	65.000000	0.0305967 	65.000000	1.27857e-05	
70.000000	0.0251114 	70.000000	0.0288927 	70.000000	0.0289854 	70.000000	0.0289374 	70.000000	0.0289442 	70.000000	0.0288807 	70.000000	1.19481e-05	
75.000000	0.0238133 	75.000000	0.0273918 	75.000000	0.0274823 	75.000000	0.0274327 	75.000000	0.0274457 	75.000000	0.0273806 	75.000000	1.12173e-05	
80.000000	0.0226663 	80.000000	0.0260681 	80.000000	0.026159  	80.000000	0.0261049 	80.000000	0.0261228 	80.000000	0.0260576 	80.000000	1.05739e-05	
85.000000	0.0216451 	85.000000	0.0248917 	85.000000	0.024979  	85.000000	0.0249242 	85.000000	0.024946  	85.000000	0.0248817 	85.000000	1.00029e-05	
90.000000	0.0207296 	90.000000	0.023839  	90.000000	0.0239254 	90.000000	0.0238672 	90.000000	0.0238921 	90.000000	0.0238295 	90.000000	9.49256e-06	
95.000000	0.0199038 	95.000000	0.0228914 	95.000000	0.0229735 	95.000000	0.0229151 	95.000000	0.0229427 	95.000000	0.0228823 	95.000000	9.03363e-06	
100.000000	0.0191549 	100.000000	0.0220336 	100.000000	0.0221115 	100.000000	0.022053  	100.000000	0.0220828 	100.000000	0.0220249 	100.000000	8.6186e-06	
105.000000	0.0184723 	105.000000	0.0212533 	105.000000	0.0213269 	105.000000	0.0212686 	105.000000	0.0213001 	105.000000	0.0212451 	105.000000	8.2414e-06	
110.000000	0.0178475 	110.000000	0.0205405 	110.000000	0.0206122 	110.000000	0.0205517 	110.000000	0.0205848 	110.000000	0.0205326 	110.000000	7.89702e-06	
115.000000	0.0172732 	115.000000	0.0198866 	115.000000	0.0199551 	115.000000	0.019894  	115.000000	0.0199283 	115.000000	0.019879  	115.000000	7.58129e-06	
120.000000	0.0167434 	120.000000	0.0192846 	120.000000	0.0193489 	120.000000	0.0192883 	120.000000	0.0193237 	120.000000	0.0192773 	120.000000	7.29075e-06	
125.000000	0.016253  	125.000000	0.0187285 	125.000000	0.0187892 	125.000000	0.0187286 	125.000000	0.0187649 	125.000000	0.0187215 	125.000000	7.02246e-06	
130.000000	0.0157977 	130.000000	0.0182132 	130.000000	0.0182703 	130.000000	0.0182099 	130.000000	0.018247  	130.000000	0.0182064 	130.000000	6.77393e-06	
135.000000	0.0153736 	135.000000	0.0177343 	135.000000	0.017788  	135.000000	0.0177279 	135.000000	0.0177656 	135.000000	0.0177278 	135.000000	6.54302e-06	
140.000000	0.0149777 	140.000000	0.0172881 	140.000000	0.0173385 	140.000000	0.0172787 	140.000000	0.017317  	140.000000	0.0172818 	140.000000	6.32791e-06	
145.000000	0.0146072 	145.000000	0.0168713 	145.000000	0.0169187 	145.000000	0.016859  	145.000000	0.0168978 	145.000000	0.0168652 	145.000000	6.127e-06 	
