*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
13.000000	0.0225502 	13.000000	0.0225901 	13.000000	0.0228864 	13.000000	0.0228891 	13.000000	0.0225803 	13.000000	9.85744e-06	
14.000000	0.0212225 	14.000000	0.021274  	14.000000	0.0214706 	14.000000	0.0214732 	14.000000	0.0212648 	14.000000	9.21377e-06	
15.000000	0.0200561 	15.000000	0.0201146 	15.000000	0.0202318 	15.000000	0.0202343 	15.000000	0.0201059 	15.000000	8.65204e-06	
16.000000	0.0190227 	16.000000	0.0190849 	16.000000	0.0191389 	16.000000	0.0191414 	16.000000	0.0190768 	16.000000	8.15734e-06	
17.000000	0.0181004 	17.000000	0.0181641 	17.000000	0.018168  	17.000000	0.0181702 	17.000000	0.0181564 	17.000000	7.71822e-06	
18.000000	0.0172719 	18.000000	0.0173355 	18.000000	0.0173    	18.000000	0.0173016 	18.000000	0.0173282 	18.000000	7.32568e-06	
19.000000	0.0165234 	19.000000	0.0165857 	19.000000	0.0165193 	19.000000	0.0165205 	19.000000	0.0165788 	19.000000	6.97261e-06	
20.000000	0.0158435 	20.000000	0.0159038 	20.000000	0.0158132 	20.000000	0.0158144 	20.000000	0.0158972 	20.000000	6.65327e-06	
21.000000	0.0152231 	21.000000	0.0152809 	21.000000	0.0151721 	21.000000	0.0151734 	21.000000	0.0152745 	21.000000	6.36297e-06	
22.000000	0.0146545 	22.000000	0.0147095 	22.000000	0.0145879 	22.000000	0.0145889 	22.000000	0.0147034 	22.000000	6.09789e-06	
23.000000	0.0141315 	23.000000	0.0141833 	23.000000	0.0140539 	23.000000	0.0140542 	23.000000	0.0141774 	23.000000	5.85483e-06	
24.000000	0.0136486 	24.000000	0.0136971 	24.000000	0.0135636 	24.000000	0.0135632 	24.000000	0.0136915 	24.000000	5.63113e-06	
25.000000	0.0132013 	25.000000	0.0132465 	25.000000	0.0131122 	25.000000	0.0131112 	25.000000	0.0132411 	25.000000	5.42453e-06	
27.000000	0.0123986 	27.000000	0.0124372 	27.000000	0.0123099 	27.000000	0.0123073 	27.000000	0.0124322 	27.000000	5.05526e-06	
29.000000	0.0116984 	29.000000	0.0117307 	29.000000	0.0116184 	29.000000	0.0116152 	29.000000	0.0117259 	29.000000	4.73475e-06	
31.000000	0.0110819 	31.000000	0.0111082 	31.000000	0.0110105 	31.000000	0.0110071 	31.000000	0.0111038 	31.000000	4.45385e-06	
33.000000	0.0105348 	33.000000	0.0105556 	33.000000	0.0104667 	33.000000	0.0104623 	33.000000	0.0105513 	33.000000	4.20555e-06	
35.000000	0.0100457 	35.000000	0.0100613 	35.000000	0.00997912	35.000000	0.0099749 	35.000000	0.0100574 	35.000000	3.98443e-06	
38.000000	0.00940179	38.000000	0.00941062	38.000000	0.00933781	38.000000	0.00933291	38.000000	0.00940692	38.000000	3.69458e-06	
41.000000	0.0088456 	41.000000	0.00884855	41.000000	0.00878306	41.000000	0.00877807	41.000000	0.0088451 	41.000000	3.44541e-06	
44.000000	0.00836003	44.000000	0.00835795	44.000000	0.0082979 	44.000000	0.00829347	44.000000	0.00835472	44.000000	3.22882e-06	
47.000000	0.00793219	47.000000	0.00792584	47.000000	0.00787142	47.000000	0.00786639	47.000000	0.0079228 	47.000000	3.03875e-06	
50.000000	0.00755218	50.000000	0.00754223	50.000000	0.00749208	50.000000	0.007487  	50.000000	0.00753936	50.000000	2.87055e-06	
55.000000	0.00700482	55.000000	0.00699012	55.000000	0.00694606	55.000000	0.00694053	55.000000	0.0069875 	55.000000	2.62938e-06	
60.000000	0.00654266	60.000000	0.00652453	60.000000	0.00648433	60.000000	0.00647925	60.000000	0.00652211	60.000000	2.42682e-06	
