*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
3.000000	4.2956e-06	3.000000	4.29223e-06	3.000000	4.17824e-06	3.000000	4.17824e-06	3.000000	4.17825e-06	3.000000	4.28993e-06	3.000000	2.30534e-09	
3.500000	3.82125e-06	3.500000	3.83189e-06	3.500000	3.72673e-06	3.500000	3.72673e-06	3.500000	3.72673e-06	3.500000	3.82988e-06	3.500000	2.01059e-09	
4.000000	3.44819e-06	4.000000	3.46902e-06	4.000000	3.36933e-06	4.000000	3.36933e-06	4.000000	3.36933e-06	4.000000	3.46724e-06	4.000000	1.78548e-09	
4.500000	3.14645e-06	4.500000	3.17514e-06	4.500000	3.07893e-06	4.500000	3.07893e-06	4.500000	3.07894e-06	4.500000	3.17353e-06	4.500000	1.60765e-09	
5.000000	2.89695e-06	5.000000	2.93192e-06	5.000000	2.83801e-06	5.000000	2.83801e-06	5.000000	2.83801e-06	5.000000	2.93045e-06	5.000000	1.46343e-09	
5.500000	2.68693e-06	5.500000	2.72701e-06	5.500000	2.63468e-06	5.500000	2.63468e-06	5.500000	2.63469e-06	5.500000	2.72567e-06	5.500000	1.344e-09 	
6.000000	2.50751e-06	6.000000	2.55182e-06	6.000000	2.46063e-06	6.000000	2.46063e-06	6.000000	2.46063e-06	6.000000	2.55057e-06	6.000000	1.24339e-09	
6.500000	2.35234e-06	6.500000	2.40014e-06	6.500000	2.30981e-06	6.500000	2.30981e-06	6.500000	2.30981e-06	6.500000	2.39898e-06	6.500000	1.15741e-09	
7.000000	2.2167e-06	7.000000	2.2674e-06	7.000000	2.17777e-06	7.000000	2.17777e-06	7.000000	2.17777e-06	7.000000	2.26632e-06	7.000000	1.08305e-09	
7.500000	2.09706e-06	7.500000	2.15015e-06	7.500000	2.06112e-06	7.500000	2.06112e-06	7.500000	2.06112e-06	7.500000	2.14914e-06	7.500000	1.01807e-09	
8.000000	1.99068e-06	8.000000	2.04575e-06	8.000000	1.95725e-06	8.000000	1.95725e-06	8.000000	1.95725e-06	8.000000	2.04479e-06	8.000000	9.60777e-10	
8.500000	1.89544e-06	8.500000	1.95212e-06	8.500000	1.86411e-06	8.500000	1.86411e-06	8.500000	1.86412e-06	8.500000	1.95121e-06	8.500000	9.09862e-10	
9.000000	1.80963e-06	9.000000	1.86762e-06	9.000000	1.78009e-06	9.000000	1.78009e-06	9.000000	1.78009e-06	9.000000	1.86676e-06	9.000000	8.64301e-10	
9.500000	1.7319e-06	9.500000	1.79093e-06	9.500000	1.70386e-06	9.500000	1.70386e-06	9.500000	1.70387e-06	9.500000	1.79011e-06	9.500000	8.2328e-10	
10.000000	1.66113e-06	10.000000	1.7463e-06	10.000000	1.63437e-06	10.000000	1.63437e-06	10.000000	1.63437e-06	10.000000	1.74551e-06	10.000000	7.86144e-10	
11.000000	1.53698e-06	11.000000	1.60691e-06	11.000000	1.51088e-06	11.000000	1.51097e-06	11.000000	1.51077e-06	11.000000	1.60619e-06	11.000000	7.2148e-10	
